"ID","Treatment","a-MCA","b-MCA","CA","HDCA","Tauro 3a12b","Tauro 3a6a","T-3a7k","T-a-MCA","T-b-MCA","T-o-MCA","TCDCA","TCA","TDCA","TLCA"
1,"Chow8",5.108633644,37.04056636,7.094223602,0.057070849,1.138246379,4.124954148,1.179464214,48.54985426,81.88081542,99.59655816,15.2268196,255.1146219,79.36811276,0.340443468
2,"Chow8",3.113087725,22.90267047,3.088239818,0.07667354,0.460751182,4.326375506,0.477434776,26.72924808,32.90572772,62.22625749,10.45599909,126.1918684,124.7187425,0.749696839
3,"Chow8",1.951575003,53.45207662,2.267751959,0.057420643,0.630173381,2.338982629,0.475719121,14.64589807,53.45934506,35.54265089,7.92986342,146.2409276,347.2458845,0.256575783
4,"Chow8",6.169185194,84.17821853,11.75574561,0.08038747,0.757780967,6.743328729,2.102611714,49.26498158,133.63495,168.518687,19.66985515,225.8224156,151.6151933,0.573037286
9,"Chow8",10.75413936,158.7969807,19.07499016,0.074706228,1.210952378,6.328684723,1.235854454,80.89617235,282.9231569,157.4166942,13.652741,346.7080456,76.72329591,0.430805913
10,"Chow8",6.291954842,193.4371971,7.537666808,0.093824616,0.95314399,6.496086777,1.663485089,43.36218753,170.6593696,113.5087672,13.93929502,310.7623439,204.83562,0.322680606
11,"Chow8",13.5283348,94.33448303,27.75528182,0.129534351,1.459444617,11.19962735,2.124945541,90.31018549,115.0527021,114.6888415,21.63441986,614.0146576,111.1339241,0.348942256
12,"Chow8",35.15815688,368.9791974,81.72070721,0.148752958,0.916950602,8.230278401,1.481780674,111.2413426,314.1777453,222.8779225,18.11983497,718.3618094,107.9177559,0.368648635
17,"Chow8",3.662499785,99.98148765,2.351066653,0.081539884,0.038051946,3.440983101,1.628759181,46.95338315,173.8838024,91.05287036,15.93425231,351.7086992,156.1013127,0.381198957
18,"Chow8",4.022245613,46.563102,9.416672025,0.083891622,0.048449038,6.253827799,2.699164174,46.04284388,123.0410461,74.39691158,20.7264333,292.2875167,245.8674857,0.626260715
19,"Chow8",5.245055065,85.90115694,8.646610051,0.092175004,0.326477917,4.699141171,0.620545914,35.6806467,60.83550263,47.51472786,7.683827267,370.6624515,53.15227004,0.164130975
20,"Chow8",20.23961364,100.646161,32.63189086,0.076603515,0.065746324,7.490858643,1.231084829,92.07501183,152.7244874,168.6483676,10.98446145,329.787178,158.9311816,0.611923351
49,"WD2",3.376743842,256.2224766,2.814470949,0.036035169,0.428383602,1.082918954,0.067721266,25.72165503,185.1151477,49.02025559,20.09022795,216.4595317,132.9666667,0.377437329
50,"WD2",7.756584019,464.01441,3.070011099,0.073400645,0.473026378,3.00214463,0.180588888,75.17740651,410.6358299,116.2176877,40.60978059,505.29936,252.9671669,0.415354443
51,"WD2",6.881681896,527.0088669,2.626382859,0.052527657,0.493704097,2.375758878,0.111760973,48.25279998,332.2653719,88.90585381,17.70349689,210.6135531,135.3118037,0.370487625
54,"WD2",8.18284742,578.2181524,8.56503212,0.054597814,0.649031518,2.017389239,0.162769734,57.29358139,449.8859899,71.48901311,19.37949419,288.3788305,199.2922593,0.287320998
55,"WD2",1.072762054,99.88926673,1.267155178,0.061197835,0.08423702,0.416505267,0.065157695,14.54348557,135.8591944,29.44695841,10.75353963,72.10544949,62.86817623,0.168114053
57,"WD2",4.721943799,445.0432031,2.398807988,0.046916749,0.243664408,1.822942726,0.111994821,56.64062394,767.5428839,78.16935808,18.202942,147.2958911,75.8575731,0.185396832
58,"WD2",2.164468882,158.542048,1.247218433,0.041775763,0.142885219,0.700803561,0.078102514,20.61543089,213.5104759,17.28547877,13.4887279,69.14191506,64.8129773,0.150453292
59,"WD2",9.401745668,580.6315755,5.691639754,0.071672501,0.316202209,1.301247375,0.146356451,44.11773672,307.4388902,38.9380434,14.20982611,146.4467943,226.4610103,0.243023983
60,"WD2",3.509116696,257.918594,1.779771781,0.031442635,0.218911929,0.668007675,0.064665041,21.4165871,159.1412601,24.76849062,14.80710796,96.07801333,120.380797,0.247388278
37,"WD4",5.782257047,174.4270602,1.721013661,0.064538012,0.518629792,5.186007213,0.263094149,78.17239416,254.8960774,66.71835054,31.00266569,337.1384363,355.8021317,0.851204054
38,"WD4",4.503456242,126.6639779,2.371319144,0.075854878,0.405926101,9.661246224,0.239182046,99.46556236,304.6154203,140.9465629,32.42283481,334.3765006,270.4158046,0.489639817
39,"WD4",2.215434994,174.086979,2.174660116,0.041318542,0.22915481,2.435347498,0.13401343,31.39665543,271.669415,96.2558934,14.7860578,301.4894419,115.531537,0.300374929
40,"WD4",7.268404893,296.6420201,2.10473529,0.076178852,1.090849746,7.271153614,0.311783549,124.3600124,517.309379,96.04818135,31.05741112,387.4126563,317.0610938,0.662834547
41,"WD4",4.269125237,135.2948303,2.774764249,0.049477724,0.296866344,2.27029205,0.085248781,35.7041954,163.5105053,53.62315489,17.93099461,134.5927815,187.6074942,0.420894963
42,"WD4",10.02952272,358.6365144,1.915819012,0.090686104,0.324608206,3.091735508,0.156448543,60.44739295,179.3602971,74.56079319,23.26609044,266.0826373,155.5807191,0.32310678
43,"WD4",8.513696981,584.1674047,3.474555441,0.071839715,0.602348379,4.700320577,0.20861148,93.56432098,611.742803,144.8191945,19.40017685,373.7737474,358.611423,0.396154582
44,"WD4",7.386174219,327.9046,5.711100302,0.068314597,1.247971056,4.335517579,0.113402231,77.57805626,372.341879,81.86821294,21.86231056,318.8378867,325.4507397,0.800100559
45,"WD4",8.274719933,510.5639694,4.087361659,0.05437316,0.427173042,3.798933921,0.228429769,73.0600272,448.7348121,111.5587242,27.0665839,501.2330352,296.4149675,0.528419615
47,"WD4",12.47455613,670.2622391,8.468910185,0.055865092,0.362528787,1.934774534,0.064185425,55.27078226,316.8561028,138.8604116,10.31661838,209.494094,130.1834931,0.354208454
48,"WD4",5.979699308,227.2603565,2.483595688,0.076732664,0.897635955,4.961288864,0.074462467,60.70507195,209.4029857,116.3703062,14.12198843,351.4946256,190.9462828,0.437466992
25,"WD6",14.2372631,210.1024505,22.74286834,0.082255853,0.411716797,9.344352427,0.129946747,194.7013546,494.8914656,304.5216692,44.3026525,694.536922,357.5635686,1.060575469
26,"WD6",4.707397324,147.2487711,1.705495236,0.065684614,0.521443645,2.606642044,0.06971788,31.4306639,88.73184675,61.21921245,17.01058644,113.0466775,144.0336821,0.525476911
27,"WD6",5.566305399,149.4017088,4.056191049,0.092439717,0.384501411,5.247149305,0.145831623,62.11789632,219.1857265,140.3330538,29.62533565,345.8520462,216.6794945,0.54029421
28,"WD6",1.899470492,78.91593197,1.420293726,0.046883482,0.784608864,2.685113551,0.09514589,31.5084579,106.2807174,50.74447486,20.34743128,143.3738254,230.2944225,0.985242589
29,"WD6",3.32483952,97.38486322,1.732994184,0.065085302,0.658694622,2.831994794,0.083905148,30.19017017,79.67068285,52.53873771,28.72692712,132.9151648,249.8256186,0.669280786
30,"WD6",6.51352121,166.7030439,4.866024383,0.088978732,0.90994656,6.573651369,0.190470097,83.31328891,256.5785143,168.2254144,26.34257057,323.6253788,285.1142715,1.057317584
31,"WD6",7.695776641,203.5894918,5.771832481,0.081114022,0.897952335,6.06310556,0.197086963,88.52154228,241.6661567,121.8386241,38.19129713,403.1232825,366.6219726,1.175482956
32,"WD6",10.52689517,235.7838202,2.342267447,0.076522942,0.788519013,5.200565691,0.200623192,101.143367,213.8317171,105.1025975,62.17322697,572.3583365,269.7866232,0.993134706
33,"WD6",4.644738638,122.9512761,5.162276512,0.077303125,1.002320186,3.164187253,0.237150266,65.70765661,223.3929303,60.72881125,21.79948137,225.6203084,172.3532141,0.433028525
34,"WD6",3.017444325,119.879139,2.57091669,0.060213575,0.864978155,3.005604577,0.408640442,49.49014628,184.8692067,89.98208414,14.71240904,256.6857348,175.8134909,0.512153667
35,"WD6",1.697258746,104.7110029,1.557118116,0.04982778,0.351389655,1.558156195,0.089274772,19.2563607,111.541561,67.57892624,13.22304704,91.40283341,142.5385923,0.466097356
5,"WD8",8.311013153,286.8284636,5.596966768,0.086849484,0.550850896,4.221447852,0.217927873,113.507451,473.7317706,137.0291864,46.51272383,469.7913773,327.4587432,0.80737854
6,"WD8",3.233572134,149.4823334,2.495556847,0.061628081,1.359241557,2.69794042,0.162819867,49.03617036,189.3351589,67.41046848,27.01668539,264.0496962,429.1901272,1.042351488
7,"WD8",11.64412091,359.7393413,3.663153641,0.080177459,1.859528595,8.09792338,0.156309267,153.1095242,503.1319458,157.5597409,41.46425115,750.8729391,312.4824526,1.077614475
8,"WD8",12.67069871,501.5347414,7.165359252,0.083506066,1.166391186,5.405670932,0.216172962,112.7331897,525.0780647,117.4472419,42.59280795,584.7444961,408.6073051,0.745156956
13,"WD8",8.733528021,565.0102629,1.838940884,0.068023519,0.736441059,3.909911142,0.102035278,76.23822315,455.5269863,146.2217414,21.46833776,212.4582015,137.7562722,0.509888154
14,"WD8",11.68010907,646.7856013,3.345188847,0.07994791,0.555076933,3.693733681,0.132895867,86.39984612,422.2161311,67.39468516,25.61839593,361.4487069,208.2607979,0.586985968
15,"WD8",4.651626325,211.2979598,2.437846552,0.053178515,1.682890886,3.90145075,0.161029325,71.19348448,312.8270986,84.36861106,34.29775243,368.2761574,417.3617197,1.339321825
16,"WD8",2.175470193,106.667102,1.553907281,0.059393789,1.073577275,3.7490603,0.090471935,32.11408381,156.9446354,56.07878721,19.54470047,140.8875935,313.0846921,0.84774275
21,"WD8",12.34659224,239.526602,9.873657067,0.089966014,0.980132258,9.688073907,0.119577944,147.3363021,363.3677595,228.7352011,33.12105605,626.1679817,397.364967,0.965439316
22,"WD8",8.548045655,247.8197246,7.086571675,0.078506036,0.64662338,7.884599553,0.182947103,117.3735338,331.4777196,164.3720136,39.06165972,885.786412,335.5326966,0.859010246
23,"WD8",2.823867262,530.2616465,2.897255903,0.038289726,0.163050415,0.61582642,0.042118698,26.45181876,360.1786854,51.56349713,15.63497128,396.8410976,71.63050415,0.247606892
24,"WD8",5.926447477,232.0166678,4.148513234,0.075018322,0.540131922,4.764788753,0.066391215,61.92762522,227.493063,113.8403044,25.24516588,497.0338957,180.1827579,0.60014658
