"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00014844059786197,23,1439,3.5332827931855,"Response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," Slfn4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Txnip  Ptk6  Oasl1  Raet1e  Cyp3a11  S100a9  Gsta2  Cfd  Tlr12  Ly6a  Raet1d  Ifi27l2a"
0.00014844059786197,22,1403,3.4663815633167,"Response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," Slfn4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Raet1e  Cyp3a11  S100a9  Gsta2  Cfd  Tlr12  Ly6a  Raet1d  Ifi27l2a"
0.00014844059786197,22,1400,3.47380952380952,"Response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," Slfn4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Raet1e  Cyp3a11  S100a9  Gsta2  Cfd  Tlr12  Ly6a  Raet1d  Ifi27l2a"
0.000452782324107835,22,1524,3.19116360454943,"Biological process involved in interspecies interaction between organisms "," http://amigo.geneontology.org/amigo/term/GO:0044419"," Slfn4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Raet1e  Cyp3a11  S100a9  Gsta2  Cfd  Tlr12  Ly6a  Raet1d  Ifi27l2a"
0.000687920870024509,5,48,23.0271464646465,"Secondary alcohol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:1902653"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
0.000687920870024509,5,48,23.0271464646465,"Cholesterol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0006695"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
0.000687920870024509,4,21,42.1067821067821,"Oxidative demethylation "," http://amigo.geneontology.org/amigo/term/GO:0070989"," Cyp3a16  Cyp3a44  Cyp3a11  Cyp3a59"
0.000976369249156233,21,1546,3.00276373044808,"Defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," Elane  Cd4  Marco  Lcn2  Zbp1  Orm3  Stap1  Clec4e  Ngp  Oas3  Ifit1  Ptk6  Chil3  Oasl1  Raet1e  S100a9  Orm2  Cfd  Tlr12  Chil1  Raet1d"
0.000976369249156233,5,54,20.4685746352413,"Sterol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0016126"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
0.00168388907670577,21,1619,2.86737043068112,"Immune response "," http://amigo.geneontology.org/amigo/term/GO:0006955"," Prg4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Themis  Raet1e  S100a9  Blnk  Cfd  Tlr12  Raet1d  Tnfsf12"
0.00168388907670577,9,303,6.56615661566157,"Steroid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0008202"," Cyp51  Msmo1  Cyp3a16  Insig1  Cyp3a44  Cyp3a11  Idi1  Cyp3a59  Hmgcs1"
0.00227441506517029,5,68,16.2544563279857,"Demethylation "," http://amigo.geneontology.org/amigo/term/GO:0070988"," Cyp51  Cyp3a16  Cyp3a44  Cyp3a11  Cyp3a59"
0.00233114123035179,27,2544,2.34616209262436,"Immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002376"," Prg4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Orm3  Stap1  Gpnmb  Clec4e  Smpd3  Oas3  Ifit1  Klf10  Ptk6  Oasl1  Themis  Raet1e  S100a9  Blnk  Orm2  Cfd  Tlr12  Zbtb16  Raet1d  Tnfsf12"
0.00355682808682849,18,1330,2.9917976760082,"Regulation of immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002682"," Elane  Cxcl14  Cd4  Zbp1  Orm3  Stap1  Gpnmb  Clec4e  Smpd3  Oas3  Klf10  Themis  Raet1e  Blnk  Orm2  Cfd  Tlr12  Zbtb16"
0.0037170925625587,13,745,3.85743339434615,"Response to bacterium "," http://amigo.geneontology.org/amigo/term/GO:0009617"," Slfn4  Elane  Cd4  Lcn2  Stap1  Clec4e  Oas3  Ifit1  Cyp3a11  S100a9  Gsta2  Cfd  Ly6a"
0.0037170925625587,13,742,3.87302948623703,"Innate immune response "," http://amigo.geneontology.org/amigo/term/GO:0045087"," Marco  Lcn2  Zbp1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Raet1e  S100a9  Cfd  Tlr12  Raet1d"
0.00543413440481386,15,1012,3.27659001077973,"Defense response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0098542"," Elane  Cd4  Marco  Lcn2  Zbp1  Clec4e  Oas3  Ifit1  Ptk6  Oasl1  Raet1e  S100a9  Cfd  Tlr12  Raet1d"
0.00584993442997997,27,2728,2.18791655558518,"Response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," Slfn4  Elane  Cxcl14  Cd4  Marco  Lcn2  Zbp1  Stap1  Clec4e  Oas3  Ifit1  Klf10  Txnip  Ptk6  Oasl1  Raet1e  Cyp3a11  S100a9  Gsta2  Cfd  Tlr12  Chil1  Adgrv1  Ly6a  Raet1d  Ifi27l2a  Hmgcs1"
0.00962422593646631,17,1335,2.81500397230734,"Lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006629"," Cyp51  Lpin1  Fabp2  Cyp2c55  Msmo1  Smpd3  Acot11  Cyp3a16  Insig1  Pigz  Cyp3a44  Ces2a  Cyp3a11  Idi1  Cyp3a59  Mup18  Hmgcs1"
0.0269703632075507,5,127,8.70317346695299,"Cholesterol metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0008203"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
0.0310857308033942,5,135,8.18742985409652,"Sterol metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016125"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
0.0310857308033942,5,134,8.24853007688828,"Alcohol biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0046165"," Cyp51  Msmo1  Insig1  Idi1  Hmgcs1"
