"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.04991942493664e-06,7,20,19.2456030150754,"Steroid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00100 "," Cyp51  Sqle  Tm7sf2  Hsd17b7  Nsdhl  Msmo1  Lss"
5.04991942493664e-06,61,1597,2.10033416928097,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?mmu01100 "," Cyp51  Akr1b3  Cyp2c29  Aldh1a3  Etnppl  Lpin1  Rrm2  Hmgcr  Sqle  Csad  Fads2  Tm7sf2  Pde6c  Aldh18a1  Hsd17b6  Inpp4a  Hsd17b7  Itpka  Pmvk  Bdh2  Cth  Cyp4a31  Extl1  Ugdh  Sult1e1  Cds1  Hpgds  Cyp2b10  Glt28d2  Nsdhl  Msmo1  Smpd3  Gsta4  Lss  Lpcat2  Plcg2  Gulo  Cyp3a16  Elovl3  9130409I23Rik  Pik3cd  B4galnt3  Fut4  Scd4  Pld4  Cyp3a44  B4galnt4  Cyp3a11  Pgm3  Gapdh  Gsta2  Idi1  Fdps  Mppe1  Aox1  Hsd3b2  Rdh11  Il4i1  Cyp2c68  Nat8f5  Hmgcs1"
6.88005510733733e-05,11,91,6.64683306643106,"Steroid hormone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00140 "," Cyp2c29  Hsd17b6  Hsd17b7  Sult1e1  Cyp2b10  Cyp3a16  Cyp3a44  Cyp3a11  Hsd3b2  Cyp2d40  Cyp2c68"
9.83874397412379e-05,11,97,6.23568875304357,"Retinol metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00830 "," Cyp2c29  Aldh1a3  Hsd17b6  Cyp4a31  Cyp2b10  Cyp3a16  Cyp3a44  Cyp3a11  Aox1  Rdh11  Cyp2c68"
0.000676552893402922,15,220,3.7491434444952,"Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05169 "," Ikbkg  Cd44  Gadd45b  Irf7  Tlr2  Oas3  Oas2  Plcg2  Tap1  Pik3cd  Ikbke  Oas1a  Blnk  Oas1g  Ccnd1"
0.000858784805786151,15,231,3.57061280428115,"Coronavirus disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05171 "," Ikbkg  Cybb  Nrp1  Ifih1  Tlr2  Oas3  Oas2  Plcg2  C1qa  C1qb  Pik3cd  Ikbke  Oas1a  Cfd  Oas1g"
0.000858784805786151,9,84,5.89151112706389,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05204 "," Cyp2c29  Hpgds  Gsta4  Cyp3a16  Ephx1  Cyp3a44  Cyp3a11  Gsta2  Cyp2c68"
0.0020278374855872,11,143,4.22980286045613,"Measles","http://www.genome.jp/kegg-bin/show_pathway?mmu05162 "," Ikbkg  Irf7  Ifih1  Tlr2  Oas3  Oas2  Pik3cd  Ikbke  Oas1a  Oas1g  Ccnd1"
0.0020332229955353,8,76,5.78815128272944,"B cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04662 "," Ikbkg  Cd72  Rac2  Vav1  Plcg2  Pik3cd  Blnk  Lilrb4a"
0.00218901387070032,10,123,4.47052334844957,"Osteoclast differentiation","http://www.genome.jp/kegg-bin/show_pathway?mmu04380 "," Spi1  Ikbkg  Fcgr1  Tyrobp  Plcg2  Sirpa  Pik3cd  Fcgr4  Blnk  Lilrb4a"
0.00497528465785907,11,169,3.57906395884749,"Phagosome","http://www.genome.jp/kegg-bin/show_pathway?mmu04145 "," Itgb2  Cybb  Fcgr1  Tuba4a  Marco  Tlr2  Coro1a  Tap1  Cd14  Fcgr4  Actg1"
0.00497528465785907,12,198,3.3325719506624,"Neutrophil extracellular trap formation","http://www.genome.jp/kegg-bin/show_pathway?mmu04613 "," Itgb2  Cybb  Fcgr1  Elane  Tlr2  Rac2  Plcg2  Pik3cd  Selplg  Fpr2  Fcgr4  Actg1"
0.00497528465785907,9,117,4.22980286045613,"Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?mmu04650 "," Itgb2  Cd48  Tyrobp  Rac2  Vav1  Plcg2  Pik3cd  Raet1e  Fcgr4"
0.00497528465785907,11,169,3.57906395884749,"Influenza A","http://www.genome.jp/kegg-bin/show_pathway?mmu05164 "," Ikbkg  Irf7  Ifih1  Oas3  Oas2  Pik3cd  Ikbke  Oas1a  Fdps  Actg1  Oas1g"
0.00497528465785907,7,70,5.49874371859296,"Acute myeloid leukemia","http://www.genome.jp/kegg-bin/show_pathway?mmu05221 "," Spi1  Ikbkg  Fcgr1  Pik3cd  Cd14  Zbtb16  Ccnd1"
0.0103170793414417,4,23,9.56303255407472,"Terpenoid backbone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00900 "," Hmgcr  Pmvk  Idi1  Hmgcs1"
0.0103170793414417,11,189,3.20032703198532,"Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04062 "," Hck  Ikbkg  Ccl6  Pik3r5  Cxcl14  Fgr  Rac2  Vav1  Plcg2  Gngt2  Pik3cd"
0.0103170793414417,10,159,3.45832938276287,"Hepatitis C","http://www.genome.jp/kegg-bin/show_pathway?mmu05160 "," Ikbkg  Irf7  Oas3  Oas2  Ifit1  Pik3cd  Ikbke  Oas1a  Oas1g  Ccnd1"
0.0137530675127581,9,139,3.56033765952062,"Alcoholic liver disease","http://www.genome.jp/kegg-bin/show_pathway?mmu04936 "," Ikbkg  Srebf1  Lpin1  C1qa  C1qb  Ikbke  Scd4  Cd14  Ccnd1"
0.0150228873043385,11,202,2.994365391313,"NOD-like receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04621 "," Ikbkg  Cybb  Mefv  Irf7  Gbp3  Oas3  Oas2  Txnip  Ikbke  Oas1a  Oas1g"
0.0150228873043385,8,115,3.82521302162989,"Staphylococcus aureus infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05150 "," Itgb2  Fcgr1  C1qa  C1qb  Selplg  Fpr2  Fcgr4  Cfd"
0.0168963917218682,7,92,4.18382674240769,"Fc gamma R-mediated phagocytosis","http://www.genome.jp/kegg-bin/show_pathway?mmu04666 "," Hck  Fcgr1  Rac2  Vav1  Plcg2  Pik3cd  Fcgr4"
0.0180052504629277,11,209,2.89407564136472,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05207 "," Esr1  Cyp2b10  Gsta4  Cyp3a16  Ephx1  Pik3cd  Ikbke  Cyp3a44  Cyp3a11  Gsta2  Ccnd1"
0.0201852616067224,7,97,3.96816557011863,"Glycerophospholipid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00564 "," Etnppl  Lpin1  Gpcpd1  Cds1  Pla2g15  Lpcat2  Pld4"
0.0201852616067224,5,49,5.61096297815609,"Linoleic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00591 "," Cyp2c29  Cyp3a16  Cyp3a44  Cyp3a11  Cyp2c68"
0.034299130784301,8,136,3.2345551285841,"Apoptosis","http://www.genome.jp/kegg-bin/show_pathway?mmu04210 "," Ikbkg  Gadd45b  Tuba4a  Traf1  Ntrk1  Pik3cd  Actg1  Csf2rb2"
0.0460989279436521,7,114,3.37642158159217,"Leukocyte transendothelial migration","http://www.genome.jp/kegg-bin/show_pathway?mmu04670 "," Itgb2  Cybb  Rac2  Vav1  Plcg2  Pik3cd  Actg1"
0.0473643888081601,19,542,1.92760388659163,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05200 "," Spi1  Ikbkg  Gadd45b  Il13ra1  Esr1  Traf1  Ntrk1  Csf3r  Lpar2  Gsta4  Rac2  Plcg2  Fzd8  Gngt2  Pik3cd  Gsta2  Zbtb16  Ccnd1  Csf2rb2"
