"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.18847981302768e-08,6,84,52.5416666666667,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05204 "," Gstm3  Cyp2c55  Mgst3  Gstm1  Gsta1  Ugt1a9"
3.39911683019632e-07,5,73,50.3824200913242,"Metabolism of xenobiotics by cytochrome P450","http://www.genome.jp/kegg-bin/show_pathway?mmu00980 "," Gstm3  Mgst3  Gstm1  Gsta1  Ugt1a9"
3.39911683019632e-07,5,71,51.8016431924883,"Drug metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00982 "," Gstm3  Mgst3  Gstm1  Gsta1  Ugt1a9"
1.53391110859288e-05,4,72,40.8657407407407,"Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00480 "," Gstm3  Mgst3  Gstm1  Gsta1"
1.95366760874388e-05,4,80,36.7791666666667,"Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?mmu01524 "," Gstm3  Mgst3  Gstm1  Gsta1"
0.000117412305429365,9,1597,4.14542892924233,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?mmu01100 "," Gstm3  Cyp2c55  Mgst3  Nt5e  Gstm1  Gsta1  Cox7a1  Cyp2a4  Ugt1a9"
0.000124861423590278,4,145,20.2919540229885,"Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05418 "," Gstm3  Mgst3  Gstm1  Gsta1"
0.000226876196843069,4,173,17.0077071290944,"Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?mmu05225 "," Gstm3  Mgst3  Gstm1  Gsta1"
0.000877968502189592,3,97,22.75,"Retinol metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00830 "," Cyp2c55  Cyp2a4  Ugt1a9"
0.014404225357177,4,542,5.42865928659287,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05200 "," Gstm3  Mgst3  Gstm1  Gsta1"
0.0185347338734715,2,91,16.1666666666667,"Steroid hormone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00140 "," Cyp2c55  Ugt1a9"
0.110304348996406,1,31,23.7284946236559,"Ascorbate and aldarate metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00053 "," Ugt1a9"
0.116464062082775,1,35,21.0166666666667,"Pentose and glucuronate interconversions","http://www.genome.jp/kegg-bin/show_pathway?mmu00040 "," Ugt1a9"
0.124884301304974,1,40,18.3895833333333,"Nicotinate and nicotinamide metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00760 "," Nt5e"
0.126556632402181,1,43,17.1065891472868,"Porphyrin and chlorophyll metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00860 "," Ugt1a9"
0.136118384469062,1,49,15.0119047619048,"Linoleic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00591 "," Cyp2c55"
0.149681575363822,1,57,12.9049707602339,"Pyrimidine metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00240 "," Nt5e"
