"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.99839357282175e-15,50,1597,3.32966179055609,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?mmu01100 "," Cyp51  Cyp2c29  Lbr  Cyp2a5  Aldh1a3  Cyp2j9  Aldoc  Etnppl  Lpin1  Rrm2  Hmgcr  Sqle  Csad  Tm7sf2  Gldc  Got1  Hsd17b6  Inpp4a  Hsd17b7  Car3  Gstm4  Pmvk  Bdh2  Cth  Cyp4a31  Cyp4a14  Ugdh  Cyp3a25  Cyp2b10  Glt28d2  Nsdhl  Msmo1  Gsta4  Lss  Gstt2  Cyp3a16  Elovl3  9130409I23Rik  Gls2  Cyp3a44  Cyp3a11  Gapdh  Gsta2  Idi1  Fdps  Aox1  Ethe1  Rdh11  Cyp2c68  Hmgcs1"
7.88479448906047e-13,15,97,16.4457831325301,"Retinol metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00830 "," Cyp2c29  Cyp2a5  Aldh1a3  Hsd17b6  Cyp4a31  Cyp4a14  Cyp3a25  Cyp2b10  Cyp3a16  Cyp3a44  Cyp3a11  Retsat  Aox1  Rdh11  Cyp2c68"
1.56179585965465e-08,7,20,37.2222891566265,"Steroid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00100 "," Cyp51  Sqle  Tm7sf2  Hsd17b7  Nsdhl  Msmo1  Lss"
1.56179585965465e-08,11,84,13.9267068273092,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05204 "," Cyp2c29  Gstm4  Cyp3a25  Gsta4  Gstt2  Cyp3a16  Ephx1  Cyp3a44  Cyp3a11  Gsta2  Cyp2c68"
5.48220153941843e-06,9,91,10.5180722891566,"Steroid hormone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00140 "," Cyp2c29  Hsd17b6  Hsd17b7  Cyp3a25  Cyp2b10  Cyp3a16  Cyp3a44  Cyp3a11  Cyp2c68"
9.26522082061089e-06,7,49,15.1927710843373,"Linoleic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00591 "," Cyp2c29  Cyp2j9  Cyp3a25  Cyp3a16  Cyp3a44  Cyp3a11  Cyp2c68"
0.00124272262504222,4,23,18.4955474070194,"Terpenoid backbone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00900 "," Hmgcr  Pmvk  Idi1  Hmgcs1"
0.00273905023013508,6,85,7.5070163004961,"Arachidonic acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00590 "," Cyp2c29  Cyp2j9  Cyp4a31  Cyp4a14  Cyp2b10  Cyp2c68"
0.00381452862988753,6,92,6.93583027763227,"Drug metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00983 "," Rrm2  Gstm4  Gsta4  Gstt2  Ces2a  Gsta2"
0.00806763221321076,5,72,7.38537483266399,"Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00480 "," Rrm2  Gstm4  Gsta4  Gstt2  Gsta2"
0.00806763221321076,5,73,7.28420531440832,"Metabolism of xenobiotics by cytochrome P450","http://www.genome.jp/kegg-bin/show_pathway?mmu00980 "," Gstm4  Gsta4  Gstt2  Ephx1  Gsta2"
0.0146063767629054,6,126,5.06425702811245,"Inflammatory mediator regulation of TRP channels","http://www.genome.jp/kegg-bin/show_pathway?mmu04750 "," Cyp2c29  Cyp2j9  Ntrk1  Cyp4a31  Cyp4a14  Cyp2c68"
0.0721897438315479,4,78,5.45381526104418,"Biosynthesis of amino acids","http://www.genome.jp/kegg-bin/show_pathway?mmu01230 "," Aldoc  Got1  Cth  Gapdh"
0.0739863587728946,4,80,5.31746987951807,"Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?mmu01524 "," Gstm4  Gsta4  Gstt2  Gsta2"
0.121067011096355,5,145,3.66722060656419,"Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05418 "," Ikbkg  Gstm4  Gsta4  Gstt2  Gsta2"
0.138544776290404,2,20,10.6349397590361,"Arginine biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00220 "," Got1  Gls2"
0.138544776290404,4,100,4.25397590361446,"Bile secretion","http://www.genome.jp/kegg-bin/show_pathway?mmu04976 "," Abcc3  Hmgcr  Slco1a4  Ephx1"
0.150563759466367,2,22,9.66812705366922,"Phenylalanine metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00360 "," Got1  Gm4952"
0.186860411502376,5,173,3.07368201128212,"Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?mmu05225 "," Gadd45b  Gstm4  Gsta4  Gstt2  Gsta2"
