"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Metabolic pathways","KEGG:01100","false","2.697676994279453e-15","14.569010051698916","1610","82","49","8947","CYP51,CYP2C29,LBR,CYP2A5,ALDH1A3,CYP2J9,ALDOC,ETNPPL,LPIN1,RRM2,HMGCR,SQLE,CSAD,TM7SF2,GLDC,GOT1,HSD17B6,INPP4A,HSD17B7,CAR3,GSTM4,PMVK,CTH,CYP4A31,CYP4A14,UGDH,CYP3A25,CYP2B10,GLT28D2,NSDHL,MSMO1,GSTA4,LSS,GSTT2,CYP3A16,ELOVL3,9130409I23RIK,GLS2,CYP3A44,CYP3A11,GAPDH,GSTA2,IDI1,FDPS,AOX1,ETHE1,RDH11,CYP2C68,HMGCS1"
"KEGG","Retinol metabolism","KEGG:00830","false","5.307104976784771e-13","12.275142321756812","97","82","15","8947","CYP2C29,CYP2A5,ALDH1A3,HSD17B6,CYP4A31,CYP4A14,CYP3A25,CYP2B10,CYP3A16,CYP3A44,CYP3A11,RETSAT,AOX1,RDH11,CYP2C68"
"KEGG","Steroid biosynthesis","KEGG:00100","false","3.5442524305194633e-10","9.450475354144597","20","82","8","8947","CYP51,LBR,SQLE,TM7SF2,HSD17B7,NSDHL,MSMO1,LSS"
"KEGG","Chemical carcinogenesis - DNA adducts","KEGG:05204","false","1.822435729132822e-8","7.739347778771384","84","82","11","8947","CYP2C29,GSTM4,CYP3A25,GSTA4,GSTT2,CYP3A16,EPHX1,CYP3A44,CYP3A11,GSTA2,CYP2C68"
"KEGG","Steroid hormone biosynthesis","KEGG:00140","false","0.000011978023921610909","4.921614823910581","92","82","9","8947","CYP2C29,HSD17B6,HSD17B7,CYP3A25,CYP2B10,CYP3A16,CYP3A44,CYP3A11,CYP2C68"
"KEGG","Linoleic acid metabolism","KEGG:00591","false","0.000026668288393965633","4.57400485701015","50","82","7","8947","CYP2C29,CYP2J9,CYP3A25,CYP3A16,CYP3A44,CYP3A11,CYP2C68"
"KEGG","Terpenoid backbone biosynthesis","KEGG:00900","false","0.0001480031306533917","3.8297290980434693","23","82","5","8947","HMGCR,PMVK,IDI1,FDPS,HMGCS1"
"KEGG","Chemical carcinogenesis - receptor activation","KEGG:05207","false","0.003182525115272445","2.4972281603746382","225","82","10","8947","GSTM4,CYP3A25,CYP2B10,GSTA4,GSTT2,CYP3A16,EPHX1,CYP3A44,CYP3A11,GSTA2"
"KEGG","Arachidonic acid metabolism","KEGG:00590","false","0.010596333186702594","1.9748443943846787","85","82","6","8947","CYP2C29,CYP2J9,CYP4A31,CYP4A14,CYP2B10,CYP2C68"
"KEGG","Drug metabolism - other enzymes","KEGG:00983","false","0.016418949556808338","1.7846546313989593","92","82","6","8947","RRM2,GSTM4,GSTA4,GSTT2,CES2A,GSTA2"
"KEGG","Drug metabolism - cytochrome P450","KEGG:00982","false","0.04060003893094559","1.391473549982246","71","82","5","8947","GSTM4,GSTA4,GSTT2,GSTA2,AOX1"
"KEGG","Glutathione metabolism","KEGG:00480","false","0.04331936632645584","1.3633179048384152","72","82","5","8947","RRM2,GSTM4,GSTA4,GSTT2,GSTA2"
"KEGG","Metabolism of xenobiotics by cytochrome P450","KEGG:00980","false","0.04617367329356494","1.335605574275625","73","82","5","8947","GSTM4,GSTA4,GSTT2,EPHX1,GSTA2"
