"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","Coronavirus disease - COVID-19","KEGG:05171","false","0.00008630573028364562","4.06396036827148","242","209","20","8947","CYBB,NRP1,IFIH1,TLR2,OAS3,OAS2,PLCG2,ISG15,C1QA,C1QC,C1QB,PIK3CD,DDX58,C3AR1,IKBKE,TLR7,OAS1A,CFD,OAS1G,C4B"
"KEGG","Epstein-Barr virus infection","KEGG:05169","false","0.00011096623772068855","3.954809138348499","224","209","19","8947","CD44,E2F2,IRF7,TLR2,OAS3,OAS2,PLCG2,ISG15,TAP1,PIK3CD,DDX58,IKBKE,OAS1A,H2-Q7,BLNK,OAS1G,CCND1,RUNX3,H2-BL"
"KEGG","Osteoclast differentiation","KEGG:04380","false","0.0005960513023856554","3.224716358742764","124","209","13","8947","SPI1,CYBA,FCGR1,TREM2,CSF1R,TNFRSF11A,TYROBP,PLCG2,SIRPA,PIK3CD,FCGR4,BLNK,SIRPB1A"
"KEGG","Phagosome","KEGG:04145","false","0.00128757515505415","2.890227412016703","174","209","15","8947","ITGB2,CYBA,CYBB,FCGR1,MARCO,TLR2,CORO1A,TAP1,SCARB1,CD14,FCGR4,H2-Q7,ACTG1,H2-BL,CLEC7A"
"KEGG","Neutrophil extracellular trap formation","KEGG:04613","false","0.0020421837701020636","2.6899051796094375","203","209","16","8947","ITGB2,CYBA,CYBB,FCGR1,GSDMD,TLR2,RAC2,PLCG2,PIK3CD,TLR7,FPR1,SELPLG,FPR2,FCGR4,ACTG1,CLEC7A"
"KEGG","Staphylococcus aureus infection","KEGG:05150","false","0.002414007807964924","2.6172613295366824","121","209","12","8947","ITGB2,FCGR1,C1QA,C1QC,C1QB,C3AR1,FPR1,SELPLG,FPR2,FCGR4,CFD,C4B"
"KEGG","Hepatitis C","KEGG:05160","false","0.011702029232407206","1.9317388213289337","164","209","13","8947","E2F2,IRF7,OAS3,OAS2,IFIT1,SCARB1,PIK3CD,DDX58,IKBKE,CLDN2,OAS1A,OAS1G,CCND1"
"KEGG","Measles","KEGG:05162","false","0.014264097361276235","1.8457557054944578","145","209","12","8947","IRF7,IFIH1,TLR2,OAS3,OAS2,PIK3CD,DDX58,IKBKE,TLR7,OAS1A,OAS1G,CCND1"
"KEGG","Acute myeloid leukemia","KEGG:05221","false","0.021152694995752126","1.6746342927229376","70","209","8","8947","SPI1,FCGR1,RUNX1,CSF1R,PIK3CD,CD14,PER2,CCND1"
"KEGG","Complement and coagulation cascades","KEGG:04610","false","0.030753567221169766","1.5121045015270647","93","209","9","8947","ITGB2,PROCR,ITGAX,C1QA,C1QC,C1QB,C3AR1,CFD,C4B"
"KEGG","Cytosolic DNA-sensing pathway","KEGG:04623","false","0.03421433895662339","1.4657918464396738","75","209","8","8947","MLKL,MEFV,GSDMD,IL33,IRF7,ZBP1,DDX58,IKBKE"
"KEGG","Leukocyte transendothelial migration","KEGG:04670","false","0.03958123792543092","1.4025106271135457","117","209","10","8947","ITGB2,CYBA,CYBB,ITGA4,RAC2,VAV1,PLCG2,PIK3CD,CLDN2,ACTG1"
