"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00020573670184793,3,19,215.970394736842,"Response to stilbenoid "," http://amigo.geneontology.org/amigo/term/GO:0035634"," Apoa4  Saa3  Saa2"
0.000428898625081059,3,30,136.78125,"Triglyceride catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019433"," Pnpla5  Apoa4  Pnpla3"
0.000560307315134974,3,41,100.083841463415,"Neutral lipid catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046461"," Pnpla5  Apoa4  Pnpla3"
0.000560307315134974,3,41,100.083841463415,"Acylglycerol catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046464"," Pnpla5  Apoa4  Pnpla3"
0.000636887644205818,3,46,89.2051630434783,"Acute-phase response "," http://amigo.geneontology.org/amigo/term/GO:0006953"," Saa3  Saa2  Saa1"
0.000984679070106964,2,7,390.803571428571,"Succinate transport "," http://amigo.geneontology.org/amigo/term/GO:0015744"," Slc13a2  Slc13a5"
0.000984679070106964,3,62,66.1844758064516,"Glycerolipid catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046503"," Pnpla5  Apoa4  Pnpla3"
0.000984679070106964,2,7,390.803571428571,"Succinate transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0071422"," Slc13a2  Slc13a5"
0.00488896320998843,3,110,37.3039772727273,"Triglyceride metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006641"," Pnpla5  Apoa4  Pnpla3"
0.00515364946005255,3,116,35.3744612068966,"Acute inflammatory response "," http://amigo.geneontology.org/amigo/term/GO:0002526"," Saa3  Saa2  Saa1"
0.00798888660905145,3,143,28.6953671328671,"Neutral lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006638"," Pnpla5  Apoa4  Pnpla3"
0.00798888660905145,3,141,29.1023936170213,"Acylglycerol metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006639"," Pnpla5  Apoa4  Pnpla3"
0.00961161530469079,2,28,97.7008928571428,"C4-dicarboxylate transport "," http://amigo.geneontology.org/amigo/term/GO:0015740"," Slc13a2  Slc13a5"
0.0139828009703245,6,1403,5.84951888809694,"Response to external biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0043207"," Ifi27l2b  Apoa4  Lrg1  Saa3  Mmp12  Saa1"
0.0139828009703245,6,1400,5.86205357142857,"Response to other organism "," http://amigo.geneontology.org/amigo/term/GO:0051707"," Ifi27l2b  Apoa4  Lrg1  Saa3  Mmp12  Saa1"
0.0150415896317427,6,1439,5.70317929117443,"Response to biotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009607"," Ifi27l2b  Apoa4  Lrg1  Saa3  Mmp12  Saa1"
0.0182298543313228,3,214,19.174941588785,"Cellular lipid catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044242"," Pnpla5  Apoa4  Pnpla3"
0.0182298543313228,6,1524,5.38508858267717,"Biological process involved in interspecies interaction between organisms "," http://amigo.geneontology.org/amigo/term/GO:0044419"," Ifi27l2b  Apoa4  Lrg1  Saa3  Mmp12  Saa1"
0.0186543816152264,6,1546,5.30845730918499,"Defense response "," http://amigo.geneontology.org/amigo/term/GO:0006952"," Ifi27l2b  Apoa4  Saa3  Mmp12  Saa2  Saa1"
0.0406227344960743,1,2,683.90625,"Cellular response to 3,3 ,5-triiodo-L-thyronine "," http://amigo.geneontology.org/amigo/term/GO:1905243"," Pnpla3"
0.0406227344960743,1,2,683.90625,"Response to lipid hydroperoxide "," http://amigo.geneontology.org/amigo/term/GO:0006982"," Apoa4"
0.0406227344960743,1,2,683.90625,"Regulation of plasma lipoprotein oxidation "," http://amigo.geneontology.org/amigo/term/GO:0034444"," Apoa4"
0.0406227344960743,1,2,683.90625,"Negative regulation of plasma lipoprotein oxidation "," http://amigo.geneontology.org/amigo/term/GO:0034445"," Apoa4"
0.0406227344960743,1,2,683.90625,"Tricarboxylic acid transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0035674"," Slc13a5"
0.0454141295756389,3,334,12.2857410179641,"Lipid catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016042"," Pnpla5  Apoa4  Pnpla3"
0.0487536166108544,7,2728,3.50978280791789,"Response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," Ifi27l2b  Apoa4  Gnat1  Lrg1  Saa3  Mmp12  Saa1"
