"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.74544773454962e-07,6,19,67.0975983648441,"Response to stilbenoid "," http://amigo.geneontology.org/amigo/term/GO:0035634"," Cd36  Cidea  Ly6d  Cyp2b9  Gsta1  Cyp2a4"
4.87689002092673e-06,14,419,7.09942767106147,"Fatty acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006631"," Cd36  Ptgds  Avpr1a  Elovl7  Fasn  Nr4a3  Acsm2  Cyp1a2  Cyp2b9  Gstp1  Fabp4  Gsta1  Cyp2a4  Cyp2a22"
4.87689002092673e-06,35,2728,2.7260448993537,"Response to external stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009605"," Col1a1  Cd36  Gstm3  Gprc5b  Wfdc2  Avpr1a  Boc  Cdkn1a  Cxcl13  Grm8  Cd63  Nfasc  Ptgfr  Nr4a3  Tnc  Ephb2  Ereg  C8b  Anxa2  Cyp1a2  Tspan8  Acta2  Susd4  Cyp7b1  Slc39a5  Thbs1  Mfap4  Sarm1  Cxcl2  Gstp1  Fabp4  Nrg1  Mas1  Ang  Gsta1"
4.87689002092673e-06,27,1606,3.57213241606113,"Response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," Timp1  Col1a1  Cd36  Ptgds  Avpr1a  Cdkn1a  Cxcl13  Cidea  Ptgfr  Nr4a3  Tnc  Ereg  Bmper  Anxa2  Gpc1  Cyp7b1  Slc39a5  Thbs1  Mmp13  Ntrk2  Cxcl2  Gstp1  Dnai1  Mas1  Ang  Serpina1e  Mup16"
4.87689002092673e-06,20,905,4.69559620232795,"Response to hormone "," http://amigo.geneontology.org/amigo/term/GO:0009725"," Timp1  Col1a1  Ptgds  Avpr1a  Cdkn1a  Ptgfr  Nr4a3  Tnc  Ereg  Anxa2  Cyp7b1  Mmp13  Ntrk2  Cxcl2  Gstp1  Dnai1  Mas1  Ang  Serpina1e  Mup16"
4.87689002092673e-06,40,3381,2.51376194209216,"Response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," Timp1  Col1a1  Cd36  Gstm3  Ptgds  Avpr1a  Sybu  Cdkn1a  Cxcl13  Cidea  Fasn  Cd63  Ptgfr  Nr4a3  Tnc  Ereg  Bmper  Anxa2  Cyp1a2  Gpc1  Ly6d  Cyp7b1  Slc39a5  Thbs1  Cyp2b9  Sarm1  Mmp13  Cadm4  Ntrk2  Cxcl2  Gstp1  Dnai1  Fabp4  Mas1  Lgals1  Ang  Serpina1e  Gsta1  Cyp2a4  Mup16"
4.87689002092673e-06,21,1043,4.27803479507396,"Response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0014070"," Col1a1  Cd36  Gstm3  Ptgds  Avpr1a  Cdkn1a  Cidea  Ptgfr  Nr4a3  Tnc  Cyp1a2  Ly6d  Cyp7b1  Thbs1  Cyp2b9  Ntrk2  Cxcl2  Gstp1  Lgals1  Gsta1  Cyp2a4"
4.87689002092673e-06,9,133,14.3780567924666,"Unsaturated fatty acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0033559"," Ptgds  Avpr1a  Elovl7  Cyp1a2  Cyp2b9  Gstp1  Gsta1  Cyp2a4  Cyp2a22"
8.03754836790835e-06,16,610,5.57313385325481,"Monocarboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0032787"," Cd36  Ptgds  Avpr1a  Elovl7  Fasn  Nr4a3  Acsm2  Cyp1a2  Cyp7b1  Cyp2b9  Gstp1  Fabp4  Gsta1  Cyp2a4  Cyp2a22  Gm3839"
2.53057460194349e-05,15,581,5.48560399712581,"Transmembrane receptor protein tyrosine kinase signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0007169"," Col1a1  Cd63  Nr4a3  Svep1  Ephb2  Ereg  Plat  Gpc1  Thbs1  Fam83a  Cadm4  Ntrk2  Dnai1  Nrg1  Mup16"
