"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.63156082435452e-05,3,73,72.5506849315069,"Metabolism of xenobiotics by cytochrome P450","http://www.genome.jp/kegg-bin/show_pathway?mmu00980 "," Gstm3  Gstm1  Ugt1a9"
5.63156082435452e-05,3,71,74.5943661971831,"Drug metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00982 "," Gstm3  Gstm1  Ugt1a9"
5.66689477637373e-05,3,84,63.05,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05204 "," Gstm3  Gstm1  Ugt1a9"
0.00226036159229989,2,72,49.0388888888889,"Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00480 "," Gstm3  Gstm1"
0.00239092855824438,2,80,44.135,"Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?mmu01524 "," Gstm3  Gstm1"
0.00681004261015556,2,145,24.3503448275862,"Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05418 "," Gstm3  Gstm1"
0.00857157569563385,2,173,20.4092485549133,"Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?mmu05225 "," Gstm3  Gstm1"
0.0332960317526347,1,31,56.9483870967742,"Ascorbate and aldarate metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00053 "," Ugt1a9"
0.034428378961127,1,35,50.44,"Pentose and glucuronate interconversions","http://www.genome.jp/kegg-bin/show_pathway?mmu00040 "," Ugt1a9"
0.0389733284876885,1,43,41.0558139534884,"Porphyrin and chlorophyll metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00860 "," Ugt1a9"
0.04985838750939,2,542,6.51439114391144,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05200 "," Gstm3  Gstm1"
0.0619707449036606,3,1597,3.31634314339386,"Metabolic pathways","http://www.genome.jp/kegg-bin/show_pathway?mmu01100 "," Gstm3  Gstm1  Ugt1a9"
0.0646189556876393,1,91,19.4,"Steroid hormone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?mmu00140 "," Ugt1a9"
0.0646189556876393,1,97,18.2,"Retinol metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00830 "," Ugt1a9"
0.0646189556876393,1,100,17.654,"Bile secretion","http://www.genome.jp/kegg-bin/show_pathway?mmu04976 "," Ugt1a9"
0.0713496137425003,1,117,15.0888888888889,"Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?mmu04650 "," Raet1d"
0.0884726125320761,1,154,11.4636363636364,"Biosynthesis of cofactors","http://www.genome.jp/kegg-bin/show_pathway?mmu01240 "," Ugt1a9"
0.0984284065646751,1,181,9.753591160221,"Axon guidance","http://www.genome.jp/kegg-bin/show_pathway?mmu04360 "," Srgap3"
