"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0298089887314661,5,80,9.35063559322034,"Platinum drug resistance","http://www.genome.jp/kegg-bin/show_pathway?mmu01524 "," Cdkn1a  Mgst3  Gstm2  Gstp1  Gsta1"
0.042083808871619,4,72,8.31167608286252,"Glutathione metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00480 "," Mgst3  Gstm2  Gstp1  Gsta1"
0.042083808871619,4,73,8.19781750638495,"Metabolism of xenobiotics by cytochrome P450","http://www.genome.jp/kegg-bin/show_pathway?mmu00980 "," Mgst3  Gstm2  Gstp1  Gsta1"
0.042083808871619,4,71,8.42874194318453,"Drug metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu00982 "," Mgst3  Gstm2  Gstp1  Gsta1"
0.042083808871619,4,93,6.4348459996355,"Endocrine resistance","http://www.genome.jp/kegg-bin/show_pathway?mmu01522 "," Cdkn1a  Jag1  Notch3  Jun"
0.042083808871619,4,87,6.87862848236899,"Th1 and Th2 cell differentiation","http://www.genome.jp/kegg-bin/show_pathway?mmu04658 "," Il12rb1  Jag1  Notch3  Jun"
0.042083808871619,10,542,2.76033523047095,"Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05200 "," Il12rb1  Cdkn1a  Mgst3  Jag1  Notch3  Tgfb2  Gstm2  Jun  Gstp1  Gsta1"
0.042083808871619,4,84,7.12429378531074,"Chemical carcinogenesis","http://www.genome.jp/kegg-bin/show_pathway?mmu05204 "," Mgst3  Gstm2  Gstp1  Gsta1"
0.042083808871619,4,88,6.80046224961479,"Colorectal cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05210 "," Cdkn1a  Ereg  Tgfb2  Jun"
0.042083808871619,6,173,5.18879200548643,"Hepatocellular carcinoma","http://www.genome.jp/kegg-bin/show_pathway?mmu05225 "," Cdkn1a  Mgst3  Tgfb2  Gstm2  Gstp1  Gsta1"
0.042083808871619,5,145,5.15897136177674,"Fluid shear stress and atherosclerosis","http://www.genome.jp/kegg-bin/show_pathway?mmu05418 "," Mgst3  Gstm2  Jun  Gstp1  Gsta1"
0.0897565223613893,3,61,7.35787718810781,"Inflammatory bowel disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05321 "," Il12rb1  Tgfb2  Jun"
0.112877641630122,3,68,6.60044865403789,"Renal cell carcinoma","http://www.genome.jp/kegg-bin/show_pathway?mmu05211 "," Cdkn1a  Tgfb2  Jun"
0.12918468596511,4,136,4.40029910269192,"Apelin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04371 "," Jag1  Acta2  Notch3  Slc8a3"
0.14900277508416,2,29,10.3179427235535,"Fatty acid elongation","http://www.genome.jp/kegg-bin/show_pathway?mmu00062 "," Acot2  Elovl6"
0.14900277508416,4,147,4.07102502017756,"Breast cancer","http://www.genome.jp/kegg-bin/show_pathway?mmu05224 "," Cdkn1a  Jag1  Notch3  Jun"
0.157190776771804,3,84,5.34322033898305,"ErbB signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04012 "," Cdkn1a  Ereg  Jun"
0.174024663159325,2,34,8.80059820538385,"Biosynthesis of unsaturated fatty acids","http://www.genome.jp/kegg-bin/show_pathway?mmu01040 "," Acot2  Elovl6"
0.175494065298796,3,91,4.93220338983051,"Hypertrophic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?mmu05410 "," Itgb8  Tgfb2  Slc8a3"
0.179189062450592,3,95,4.72453166815343,"TGF-beta signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04350 "," Tgfb2  Fmod  Rgma"
0.179189062450592,3,94,4.77479264334656,"Dilated cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?mmu05414 "," Itgb8  Tgfb2  Slc8a3"
0.19656142665788,2,40,7.48050847457627,"Nicotine addiction","http://www.genome.jp/kegg-bin/show_pathway?mmu05033 "," Gria4  Gabra3"
