"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00187229741409734,14,231,4.05280073461892,"Coronavirus disease","http://www.genome.jp/kegg-bin/show_pathway?mmu05171 "," Cybb  Nrp1  Ifih1  Tlr2  Oas3  Oas2  Plcg2  C1qa  C1qb  Pik3cd  Ikbke  Oas1a  Cfd  Oas1g"
0.00261956526154919,13,220,3.95148071625344,"Epstein-Barr virus infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05169 "," Cd44  Irf7  Tlr2  Oas3  Oas2  Plcg2  Tap1  Pik3cd  Ikbke  Oas1a  Blnk  Oas1g  Ccnd1"
0.00284767596265631,12,198,4.05280073461892,"Neutrophil extracellular trap formation","http://www.genome.jp/kegg-bin/show_pathway?mmu04613 "," Itgb2  Cybb  Fcgr1  Elane  Tlr2  Rac2  Plcg2  Pik3cd  Selplg  Fpr2  Fcgr4  Actg1"
0.00292165880798204,10,143,4.6763085399449,"Measles","http://www.genome.jp/kegg-bin/show_pathway?mmu05162 "," Irf7  Ifih1  Tlr2  Oas3  Oas2  Pik3cd  Ikbke  Oas1a  Oas1g  Ccnd1"
0.00394480955535246,9,123,4.8930155210643,"Osteoclast differentiation","http://www.genome.jp/kegg-bin/show_pathway?mmu04380 "," Spi1  Fcgr1  Tyrobp  Plcg2  Sirpa  Pik3cd  Fcgr4  Blnk  Lilrb4a"
0.00489194378150651,7,76,6.15919059011164,"B cell receptor signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04662 "," Cd72  Rac2  Vav1  Plcg2  Pik3cd  Blnk  Lilrb4a"
0.00672246647071573,10,169,3.95687645687646,"Phagosome","http://www.genome.jp/kegg-bin/show_pathway?mmu04145 "," Itgb2  Cybb  Fcgr1  Marco  Tlr2  Coro1a  Tap1  Cd14  Fcgr4  Actg1"
0.00867606874429653,8,117,4.57239057239057,"Natural killer cell mediated cytotoxicity","http://www.genome.jp/kegg-bin/show_pathway?mmu04650 "," Itgb2  Cd48  Tyrobp  Rac2  Vav1  Plcg2  Pik3cd  Fcgr4"
0.00867606874429653,8,115,4.65191040843215,"Staphylococcus aureus infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05150 "," Itgb2  Fcgr1  C1qa  C1qb  Selplg  Fpr2  Fcgr4  Cfd"
0.0135567406835455,9,159,3.78516295025729,"Hepatitis C","http://www.genome.jp/kegg-bin/show_pathway?mmu05160 "," Irf7  Oas3  Oas2  Ifit1  Pik3cd  Ikbke  Oas1a  Oas1g  Ccnd1"
0.0190884238238305,9,169,3.56118881118881,"Influenza A","http://www.genome.jp/kegg-bin/show_pathway?mmu05164 "," Irf7  Ifih1  Oas3  Oas2  Pik3cd  Ikbke  Oas1a  Actg1  Oas1g"
0.0288008223484123,7,114,4.10612706007443,"Leukocyte transendothelial migration","http://www.genome.jp/kegg-bin/show_pathway?mmu04670 "," Itgb2  Cybb  Rac2  Vav1  Plcg2  Pik3cd  Actg1"
0.0352205146692394,9,189,3.18434343434343,"Chemokine signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04062 "," Ccl6  Pik3r5  Cxcl14  Fgr  Rac2  Vav1  Plcg2  Gngt2  Pik3cd"
