"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.55053214542682e-05,11,88,7.71590909090909,"ECM-receptor interaction","http://www.genome.jp/kegg-bin/show_pathway?mmu04512 "," Cd36  Lama2  Col6a2  Itgb4  Itgb8  Tnc  Col1a2  Col4a1  Itga11  Thbs1  Col6a3"
8.84412022839726e-05,15,200,4.62954545454545,"Focal adhesion","http://www.genome.jp/kegg-bin/show_pathway?mmu04510 "," Lama2  Col6a2  Itgb4  Pdgfrb  Itgb8  Src  Tnc  Col1a2  Col4a1  Itga11  Thbs1  Col6a3  Prkca  Jun  Flnc"
0.000350285223633948,19,357,3.28520499108734,"PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04151 "," Lama2  Col6a2  Itgb4  Angpt1  Cdkn1a  Pdgfrb  Itgb8  Creb3l1  Tnc  Ereg  Col1a2  Fgf21  Col4a1  Itga11  Lpar1  Thbs1  Col6a3  Prkca  Ntrk2"
0.000534008582874607,10,108,5.71548821548822,"Protein digestion and absorption","http://www.genome.jp/kegg-bin/show_pathway?mmu04974 "," Col6a2  Col14a1  Col5a2  Col3a1  Col5a1  Col1a2  Eln  Col4a1  Col6a3  Kcnn4"
0.000707887816374782,6,34,10.8930481283422,"Biosynthesis of unsaturated fatty acids","http://www.genome.jp/kegg-bin/show_pathway?mmu01040 "," Acot2  Elovl7  Scd2  Elovl5  Elovl6  Acnat2"
0.001379181410189,9,101,5.5004500450045,"AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?mmu04933 "," Tgfb3  Col3a1  Col1a2  Col4a1  Ccl2  Serpine1  Tgfb2  Prkca  Jun"
0.00482013114334602,11,181,3.75138121546961,"Axon guidance","http://www.genome.jp/kegg-bin/show_pathway?mmu04360 "," Unc5b  Sema5a  Boc  Robo1  Src  Sema3c  Limk1  Ephb1  Prkca  Sema3b  Rgma"
0.00482013114334602,16,349,2.82990362073457,"Human papillomavirus infection","http://www.genome.jp/kegg-bin/show_pathway?mmu05165 "," Lama2  Col6a2  Itgb4  Cdkn1a  Pdgfrb  Itgb8  Creb3l1  Jag1  Tnc  Col1a2  Col4a1  Itga11  Notch3  Thbs1  Col6a3  Dlg2"
0.00615017501611154,9,129,4.30655391120507,"Relaxin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?mmu04926 "," Col3a1  Creb3l1  Src  Col1a2  Col4a1  Acta2  Mmp13  Prkca  Jun"
0.00680196806256844,8,105,4.7030303030303,"Amoebiasis","http://www.genome.jp/kegg-bin/show_pathway?mmu05146 "," Lama2  Tgfb3  Col3a1  Col1a2  Col4a1  Tgfb2  Prkca  Cxcl2"
0.0101377191062304,6,62,5.97360703812317,"Fatty acid metabolism","http://www.genome.jp/kegg-bin/show_pathway?mmu01212 "," Acaca  Elovl7  Fasn  Scd2  Elovl5  Elovl6"
0.0223661458459361,4,29,8.5141065830721,"Fatty acid elongation","http://www.genome.jp/kegg-bin/show_pathway?mmu00062 "," Acot2  Elovl7  Elovl5  Elovl6"
