"Liver_lipid","Intestinal_ba","bicor","adj_pval"
"CE.12.0","3a7b",-0.0122382254565408,1
"CE.14.0","3a7b",-0.0849357764455301,0.780628195497167
"CE.14.1","3a7b",0.245481330562376,0.385084285357641
"CE.15.0","3a7b",-0.090508595553707,0.76274183484595
"CE.16.0","3a7b",-0.106075611304462,0.711593134319054
"CE.16.1","3a7b",-0.097383119297322,0.740563044189097
"CE.17.0","3a7b",-0.146913997643388,0.570864600706163
"CE.18.0","3a7b",-0.162872706845476,0.518706366803918
"CE.18.1","3a7b",-0.162954832160497,0.518464805692987
"CE.18.2","3a7b",-0.126434386105303,0.642428047675068
"CE.18.3","3a7b",-0.0349016043808715,0.941432032002547
"CE.18.4","3a7b",-1,NA
"CE.20.0","3a7b",-0.0661348490147996,0.841302006469115
"CE.20.1","3a7b",-0.135771110968421,0.609120279917963
"CE.20.2","3a7b",-0.0968382471491817,0.746115900386421
"CE.20.3","3a7b",-0.106110738121178,0.711593134319054
"CE.20.4","3a7b",-0.121769483701562,0.658370367617448
"CE.20.5","3a7b",0.129505786191958,0.665881217427319
"CE.22.0","3a7b",0.103570170223236,0.858420433897061
"CE.22.1","3a7b",-0.0269249438650603,0.971123672621498
"CE.22.2","3a7b",-0.421261792250196,0.137712892509087
"CE.22.4","3a7b",-0.232447173338832,0.646965666807403
"CE.22.5","3a7b",-0.0388824297872279,0.928795874062253
"CE.22.6","3a7b",-0.0876832986997948,0.772206748548421
"CE.24.0","3a7b",-0.174691151746624,0.571706598893707
"CE.24.1","3a7b",-0.501427493874965,0.181581395723472
"Cer.d18.0.16.0","3a7b",-0.0521118568635976,0.894507367276258
"Cer.d18.0.20.0","3a7b",0.705038291160842,0.466713482185292
"Cer.d18.0.22.0","3a7b",-0.156188496685806,0.539990415079917
"Cer.d18.0.24.0","3a7b",0.00265950296107535,1
"Cer.d18.0.24.1","3a7b",0.214088848314582,0.377176848733146
"Cer.d18.1.14.0","3a7b",0.171483555543951,0.602733658435579
"Cer.d18.1.16.0","3a7b",-0.146939002269541,0.57083202957685
"Cer.d18.1.18.0","3a7b",-0.165728944282196,0.509774120623487
"Cer.d18.1.18.1","3a7b",0.0506540257523211,0.945903044561534
"Cer.d18.1.20.0","3a7b",-0.113943042985996,0.685780615936168
"Cer.d18.1.20.1","3a7b",0.0451406436597967,0.94287080293067
"Cer.d18.1.22.0","3a7b",0.0506619432104346,0.891367757419083
"Cer.d18.1.22.1","3a7b",-0.197253211901366,0.419704338153021
"Cer.d18.1.24.0","3a7b",0.217110813991595,0.369873163925813
"Cer.d18.1.24.1","3a7b",0.383338602747564,0.0836772781375368
"DG.12.0_16.0","3a7b",NA,NA
"DG.12.0_18.1","3a7b",-0.203491045482556,0.411998293415996
"DG.12.0_18.2","3a7b",-0.00417769985882636,1
"DG.14.0_14.0","3a7b",-0.265735070683834,0.442812950558854
"DG.14.0_16.0","3a7b",-0.224546192967518,0.359976183731891
"DG.14.0_16.1","3a7b",-0.16272617164315,0.519130223920514
"DG.14.0_18.1","3a7b",-0.184132743641743,0.453965220201945
"DG.14.0_18.2","3a7b",-0.18939813241939,0.447221751501406
"DG.14.0_18.3","3a7b",-1,NA
"DG.14.0_20.0","3a7b",-0.0260711627478075,1
"DG.14.0_20.4","3a7b",1,NA
"DG.14.0_22.6","3a7b",-0.244866244041835,0.519514461920397
"DG.14.1_16.0","3a7b",-0.136527184841178,0.606761435899232
"DG.14.1_18.1","3a7b",-0.223231855973239,0.363090790551261
"DG.15.0_18.1","3a7b",-0.150251869189349,0.560468498255328
"DG.15.0_18.2","3a7b",0.0451127200339204,0.910897225869159
"DG.16.0_16.0","3a7b",-0.190242931222422,0.445165903853723
"DG.16.0_16.1","3a7b",-0.103961222900463,0.718870936327363
"DG.16.0_18.0","3a7b",-0.296678371683652,0.223828400090577
"DG.16.0_18.1","3a7b",-0.112130576184615,0.691910203416274
"DG.16.0_18.2","3a7b",0.11431404259013,0.69028746243441
"DG.16.0_18.3","3a7b",0.0256752862151702,1
"DG.16.0_20.3","3a7b",-0.180111730760884,0.727259886972593
"DG.16.0_20.4","3a7b",-0.285651597214255,0.363200997151725
"DG.16.0_20.5","3a7b",0.602726855141399,0.14631155988725
"DG.16.0_22.5","3a7b",0.317626518685387,0.51719953080452
"DG.16.0_22.6","3a7b",0.0663965476478596,0.91289631955055
"DG.16.1_16.1","3a7b",-0.120322617513461,0.663310004590406
"DG.16.1_18.0","3a7b",-0.141932515291481,0.587980194387287
"DG.16.1_18.1","3a7b",-0.147551450904842,0.568820794351593
"DG.16.1_18.2","3a7b",-0.0948492952668813,0.752911638224288
"DG.16.1_18.3","3a7b",-0.0840898866435173,0.9023631384734
"DG.16.1_20.2","3a7b",-0.335066969173346,0.152874695120516
"DG.16.1_20.4","3a7b",-0.318597240951447,0.300725831829434
"DG.16.1_22.6","3a7b",0.0100168383526886,1
"DG.18.0_18.1","3a7b",-0.181836633014277,0.460375564602344
"DG.18.0_18.2","3a7b",0.030317007966984,0.956950114771653
"DG.18.0_18.3","3a7b",-0.12328572923879,0.831485231155414
"DG.18.0_22.6","3a7b",0.213151133828425,0.59025737441195
"DG.18.1_18.1","3a7b",-0.189192251891742,0.440477038889077
"DG.18.1_18.2","3a7b",-0.201831220718652,0.41597349774408
"DG.18.1_20.1","3a7b",-0.197366969796226,0.419426465695925
"DG.18.1_20.2","3a7b",-0.262835585535298,0.272564640142871
"DG.18.1_20.3","3a7b",-0.421089596855072,0.305296543322876
"DG.18.1_20.4","3a7b",-0.460403774754162,0.10729051075548
"DG.18.1_20.5","3a7b",0.443340670857222,0.332435958883078
"DG.18.1_22.4","3a7b",-0.42429457601469,0.145133487174794
"DG.18.1_22.5","3a7b",0.287349226831768,0.56988285640918
"DG.18.1_22.6","3a7b",0.12777744184662,0.783027924934913
"DG.18.2_18.3","3a7b",-0.0139049487371026,1
"DG.18.2_20.3","3a7b",0.141995904220928,0.797240764719862
"DG.18.2_20.4","3a7b",0.319997871608621,0.298424351255226
"DG.18.2_20.5","3a7b",-0.365914935064767,0.55041494009186
"DG.18.2_22.4","3a7b",-0.463449995237409,0.338782268082932
"DG.18.2_22.5","3a7b",0.28308795777682,0.607365297398387
"DG.18.2_22.6","3a7b",0.109988674261523,0.820682114747041
"DG.20.0_20.0","3a7b",0.174566561385086,0.506907757909861
"FA.12.0","3a7b",0.0184315594973982,0.992003198366303
"FA.14.0","3a7b",-0.335716963878458,0.137712892509087
"FA.14.1","3a7b",-0.146729903819964,0.571578521741562
"FA.15.0","3a7b",-0.26047206199011,0.269246173319805
"FA.16.0","3a7b",-0.290146979814817,0.212081732447835
"FA.16.1","3a7b",-0.313188585628654,0.172656696287016
"FA.17.0","3a7b",-0.320327358012709,0.161485270156928
"FA.18.0","3a7b",-0.259512449686394,0.271543231912325
"FA.18.1","3a7b",-0.316443679600612,0.167935831908498
"FA.18.2","3a7b",0.136579251485898,0.606740722676473
"FA.18.3","3a7b",0.0147209461288047,1
"FA.18.4","3a7b",0.152210938107865,0.553554951703845
"FA.20.0","3a7b",0.0718095993082467,0.822715291747136
"FA.20.1","3a7b",-0.304553680197809,0.187299047537702
