"Plasma_lipid","Intestinal_ba","bicor","adj_pval"
"CE.12.0","3a7b",-0.221080307251741,0.515543797585029
"CE.14.0","3a7b",-0.227157697572293,0.497174031932195
"CE.14.1","3a7b",-0.129834937791624,0.794391825583851
"CE.15.0","3a7b",-0.2473797259444,0.440149280152009
"CE.16.0","3a7b",-0.194663260463457,0.594898993285258
"CE.16.1","3a7b",-0.208194074330982,0.554514352620164
"CE.17.0","3a7b",-0.256660308619683,0.413529729843172
"CE.18.0","3a7b",-0.208089851642525,0.554833026274513
"CE.18.1","3a7b",-0.249270580766207,0.434526433579839
"CE.18.2","3a7b",-0.195417737273974,0.59324496516395
"CE.18.3","3a7b",-0.153909200032147,0.718767536969547
"CE.18.4","3a7b",0.0310262527921117,1
"CE.20.0","3a7b",0.00089843403142668,1
"CE.20.1","3a7b",-0.0701296669479926,0.948055538545597
"CE.20.2","3a7b",-0.265079194088044,0.39051757306958
"CE.20.3","3a7b",-0.211651536161744,0.544034123514695
"CE.20.4","3a7b",-0.196762605737164,0.589618556058713
"CE.20.5","3a7b",0.0573387606623379,0.978028444850355
"CE.22.0","3a7b",-0.142414920401632,0.751142533148692
"CE.22.1","3a7b",-0.0678135920568233,0.953897711062432
"CE.22.2","3a7b",-0.0183066113776208,1
"CE.22.4","3a7b",-0.0189920297428568,1
"CE.22.5","3a7b",-0.18723455638968,0.616619212616508
"CE.22.6","3a7b",-0.174541709118067,0.656988600868778
"CE.24.0","3a7b",0.0279600327666409,1
"CE.24.1","3a7b",-0.0404591245187117,1
"Cer.d18.0.22.0","3a7b",-1,NA
"Cer.d18.0.24.0","3a7b",NA,NA
"Cer.d18.0.24.1","3a7b",0.078467834957166,0.97561460925343
"Cer.d18.0.26.1","3a7b",1,NA
"Cer.d18.1.14.0","3a7b",-1,NA
"Cer.d18.1.16.0","3a7b",-0.104287700619975,0.86111637919063
"Cer.d18.1.18.0","3a7b",-0.0459869742985193,1
"Cer.d18.1.20.0","3a7b",0.0559560277354802,0.993330674301536
"Cer.d18.1.22.0","3a7b",0.034843265183622,1
"Cer.d18.1.22.1","3a7b",-0.108984706520092,0.861798834376831
"Cer.d18.1.24.0","3a7b",-0.0709726452180337,0.9461613769127
"Cer.d18.1.24.1","3a7b",0.0193586666226244,1
"DG.12.0_18.0","3a7b",0.151079909308261,1
"DG.12.0_18.1","3a7b",NA,NA
"DG.12.0_18.2","3a7b",-0.0999918452553101,0.96320495557385
"DG.14.0_16.0","3a7b",-0.330679980797451,0.808723422516993
"DG.14.0_16.1","3a7b",NA,NA
"DG.14.0_18.1","3a7b",-0.580627972062971,0.310730564490254
"DG.14.0_18.2","3a7b",NA,NA
"DG.14.0_20.0","3a7b",0.0617901966721183,1
"DG.14.1_16.0","3a7b",NA,NA
"DG.14.1_18.1","3a7b",NA,NA
"DG.15.0_18.1","3a7b",NA,NA
"DG.16.0_16.0","3a7b",-0.0912899100481764,0.895120234507658
"DG.16.0_16.1","3a7b",-0.268581038764668,0.607644783251191
"DG.16.0_18.0","3a7b",0.0597766764812409,0.97313420170155
"DG.16.0_18.1","3a7b",-0.402484004263747,0.116531704070915
"DG.16.0_18.2","3a7b",0.000398313272754469,1
"DG.16.0_18.3","3a7b",NA,NA
"DG.16.0_20.3","3a7b",NA,NA
"DG.16.0_20.4","3a7b",0.31636134966638,0.947778437118563
"DG.16.0_22.6","3a7b",-0.345097523600575,0.930910809561478
"DG.16.1_16.1","3a7b",-0.336504669759358,0.884029765758755
"DG.16.1_18.0","3a7b",NA,NA
"DG.16.1_18.1","3a7b",-0.445816766588241,0.0855995525608447
"DG.16.1_18.2","3a7b",-0.41931048185153,0.301037320707959
"DG.16.1_22.6","3a7b",NA,NA
"DG.18.0_18.1","3a7b",-0.362647222470325,0.216354141985168
"DG.18.0_18.2","3a7b",0.0246593287458191,1
"DG.18.0_22.6","3a7b",NA,NA
"DG.18.1_18.1","3a7b",-0.438207701799269,0.0741972946234892
"DG.18.1_18.2","3a7b",-0.149567026993941,0.730619291384717
"DG.18.1_20.1","3a7b",-0.45819937236659,0.783828831367291
"DG.18.1_20.2","3a7b",NA,NA
"DG.18.1_20.3","3a7b",-0.586493071696455,0.261478369643024
"DG.18.1_20.4","3a7b",-0.00803610095298566,1
"DG.18.1_20.5","3a7b",-0.137079911079532,0.970922266340973
"DG.18.1_22.6","3a7b",-0.283014199319193,0.676955975697165
"DG.18.2_18.3","3a7b",-0.266322949526676,0.934731094710437
"DG.18.2_20.4","3a7b",0.153844971542122,0.994623909101287
"DG.18.2_20.5","3a7b",-0.22190867189754,0.919556152861854
"DG.18.2_22.5","3a7b",-1,NA
"DG.18.2_22.6","3a7b",0.130764278386438,0.976738881180378
"DG.20.0_20.0","3a7b",-0.00246772633056076,1
"FA.12.0","3a7b",-0.112133161489433,0.84200330299272
"FA.14.0","3a7b",-0.157587067329752,0.709183880316702
"FA.14.1","3a7b",-0.150446260658877,0.727929073554784
"FA.15.0","3a7b",-0.0945005756283665,0.886478082717101
"FA.16.0","3a7b",-0.173376006795193,0.661748663330018
"FA.16.1","3a7b",-0.128756832532492,0.797085272563354
"FA.17.0","3a7b",-0.195235436577298,0.593247969378938
"FA.18.0","3a7b",-0.147651271361294,0.735353081934977
"FA.18.1","3a7b",-0.275402501273705,0.364293771417467
"FA.18.2","3a7b",0.17379132403912,0.660068968615526
"FA.18.3","3a7b",0.0593333810883986,0.973579332495037
"FA.18.4","3a7b",0.296562848181149,0.312079503732913
"FA.20.0","3a7b",0.0775953119302269,0.929929043026598
"FA.20.1","3a7b",-0.110731646517232,0.844332032981175
"FA.20.2","3a7b",0.0891095953420694,0.900362206695275
"FA.20.3","3a7b",-0.187702069191285,0.615818667021767
"FA.20.4","3a7b",-0.0573938813686113,0.978028444850355
"FA.20.5","3a7b",-0.143976552683174,0.746128650259482
"FA.22.0","3a7b",0.265656113591031,0.38885392319244
"FA.22.1","3a7b",0.302929930107307,0.298126893007452
"FA.22.2","3a7b",0.0184112617652359,1
"FA.22.4","3a7b",0.112240272194891,0.841921354162282
"FA.22.5","3a7b",0.01054519809838,1
"FA.22.6","3a7b",-0.0790899468861682,0.925680282290036
"FA.24.0","3a7b",0.111614559810336,0.84233319775099
"FA.24.1","3a7b",0.251120083199347,0.4298720416299
"HexCER.d18.1.16.0","3a7b",-0.126513990501241,0.80347764372088
"HexCER.d18.1.18.0","3a7b",-0.170102859453291,0.717171220668825
"HexCER.d18.1.18.1","3a7b",0,1
"HexCER.d18.1.20.0","3a7b",-0.150604819349485,0.72706212913602
"HexCER.d18.1.20.1","3a7b",0.108825723895289,0.936580665060499
"HexCER.d18.1.22.0","3a7b",-0.17291286017209,0.66339641730752
"HexCER.d18.1.22.1","3a7b",-0.205083923033525,0.563912372423219
"HexCER.d18.1.24.0","3a7b",-0.0910271617254516,0.895835015445112
"HexCER.d18.1.24.1","3a7b",-0.174800820520098,0.656397361397958
"LPC.14.0","3a7b",-0.230002216081593,0.489757363494077
"LPC.15.0","3a7b",-0.205354517400881,0.56298411088379
"LPC.16.0","3a7b",-0.129157398889105,0.79635332193121
"LPC.16.1","3a7b",-0.211228681941194,0.544881355110322
"LPC.17.0","3a7b",-0.241699249511713,0.456957486040253
"LPC.18.0","3a7b",-0.111031018358699,0.843297880229748
"LPC.18.1","3a7b",-0.230291892814125,0.489329835034684
