"Plasma_lipid","Liver_ba","bicor","adj_pval"
"CE.12.0","a-MCA",-0.0809702203752176,0.870266644831679
"CE.14.0","a-MCA",0.0171203604151324,1
"CE.14.1","a-MCA",-0.104234705588575,0.805307744441118
"CE.15.0","a-MCA",-0.0297293089847492,1
"CE.16.0","a-MCA",0.0620415547911571,0.924980231159529
"CE.16.1","a-MCA",0.0910202031959882,0.8404298799518
"CE.17.0","a-MCA",-0.0491947604993788,0.959720097837069
"CE.18.0","a-MCA",0.0108611032988553,1
"CE.18.1","a-MCA",0.0553641650096989,0.945129248095177
"CE.18.2","a-MCA",0.12947470062408,0.725589437324775
"CE.18.3","a-MCA",-0.0635324379482663,0.92215961190875
"CE.18.4","a-MCA",-0.270940714881655,0.306692145853202
"CE.20.0","a-MCA",-0.312551914037948,0.210642314167135
"CE.20.1","a-MCA",-0.188175477406783,0.537777342120469
"CE.20.2","a-MCA",0.0081762517257534,1
"CE.20.3","a-MCA",0.114912848480668,0.770346986146311
"CE.20.4","a-MCA",0.0763584430693492,0.884745959205584
"CE.20.5","a-MCA",-0.0582832966928032,0.937197978636473
"CE.22.0","a-MCA",-0.129371460761845,0.725884271521619
"CE.22.1","a-MCA",-0.0719757419217149,0.897152033428746
"CE.22.2","a-MCA",-0.0744062977418984,0.891258370383588
"CE.22.4","a-MCA",-0.27783821711581,0.28719866808704
"CE.22.5","a-MCA",-0.15484318977403,0.637607804184854
"CE.22.6","a-MCA",0.191036301946739,0.530840089010457
"CE.24.0","a-MCA",-0.163572639642158,0.61256728688692
"CE.24.1","a-MCA",-0.269279680309605,0.310332521674167
"Cer.d18.0.22.0","a-MCA",1,NA
"Cer.d18.0.24.0","a-MCA",-1,NA
"Cer.d18.0.24.1","a-MCA",-0.00182503879268371,1
"Cer.d18.0.26.1","a-MCA",0.539126941696216,0.918708643244511
"Cer.d18.1.14.0","a-MCA",0.596732240876033,0.770199830887027
"Cer.d18.1.16.0","a-MCA",0.0162009902861374,1
"Cer.d18.1.18.0","a-MCA",0.341104993150177,0.775195836122033
"Cer.d18.1.20.0","a-MCA",0.0258972043856777,1
"Cer.d18.1.22.0","a-MCA",0.0961161088108155,0.826060979410749
"Cer.d18.1.22.1","a-MCA",0.15145703298451,0.66835469400168
"Cer.d18.1.24.0","a-MCA",0.0219571688183804,1
"Cer.d18.1.24.1","a-MCA",0.1206154744773,0.751968988775595
"DG.12.0_18.0","a-MCA",-0.278910117123966,0.838154787836857
"DG.12.0_18.1","a-MCA",-0.876125944799567,0.70264815682443
"DG.12.0_18.2","a-MCA",-0.206549723923388,0.724402684157058
"DG.14.0_16.0","a-MCA",0.0334303722689189,1
"DG.14.0_16.1","a-MCA",NA,NA
"DG.14.0_18.1","a-MCA",-0.211676739022621,0.78198982297229
"DG.14.0_18.2","a-MCA",NA,NA
"DG.14.0_20.0","a-MCA",0.0392916881287472,1
"DG.14.1_16.0","a-MCA",NA,NA
"DG.14.1_18.1","a-MCA",-0.452596076863158,0.950120284477633
"DG.15.0_18.1","a-MCA",0.376477051601632,0.976583094155368
"DG.16.0_16.0","a-MCA",0.00598232668992207,1
"DG.16.0_16.1","a-MCA",0.239058206718859,0.577436051140584
"DG.16.0_18.0","a-MCA",0.0832242750241671,0.864939148481002
"DG.16.0_18.1","a-MCA",-0.0671345009963214,0.91274392197423
"DG.16.0_18.2","a-MCA",-0.194164874001307,0.574838585714475
"DG.16.0_18.3","a-MCA",NA,NA
"DG.16.0_20.3","a-MCA",NA,NA
"DG.16.0_20.4","a-MCA",-0.0608655156927429,1
"DG.16.0_22.6","a-MCA",-0.312533619204008,0.944968215840209
"DG.16.1_16.1","a-MCA",0.162558433750857,0.92517452452986
"DG.16.1_18.0","a-MCA",NA,NA
"DG.16.1_18.1","a-MCA",0.0765576702177048,0.891258370383588
"DG.16.1_18.2","a-MCA",-0.508449913406325,0.127138065694665
"DG.16.1_22.6","a-MCA",NA,NA
"DG.18.0_18.1","a-MCA",0.13383667249248,0.7270723004907
"DG.18.0_18.2","a-MCA",-0.322170925082582,0.549038456600714
"DG.18.0_22.6","a-MCA",1,NA
"DG.18.1_18.1","a-MCA",-0.0010703681459941,1
"DG.18.1_18.2","a-MCA",-0.157219964251166,0.63012922335249
"DG.18.1_20.1","a-MCA",-0.39063570742629,0.755630559603922
"DG.18.1_20.2","a-MCA",NA,NA
"DG.18.1_20.3","a-MCA",-0.176427001674426,0.843740602884041
"DG.18.1_20.4","a-MCA",0.195697694071773,0.806897651442274
"DG.18.1_20.5","a-MCA",-0.615507881513377,0.387259003703564
"DG.18.1_22.6","a-MCA",-0.40586521074641,0.417854233521065
"DG.18.2_18.3","a-MCA",-0.00859631549486387,1
"DG.18.2_20.4","a-MCA",-0.294975697963741,0.849988994771937
"DG.18.2_20.5","a-MCA",-0.225257229277067,0.913676166387861
"DG.18.2_22.5","a-MCA",1,NA
"DG.18.2_22.6","a-MCA",0.0342796516308374,1
"DG.20.0_20.0","a-MCA",-0.366422515506068,0.108544507959309
"FA.12.0","a-MCA",-0.136356024301941,0.703142140402415
"FA.14.0","a-MCA",-0.0504576640868503,0.95796783366919
"FA.14.1","a-MCA",0.0498131808027766,0.958809337240443
"FA.15.0","a-MCA",-0.0478204120452278,0.964069174084003
"FA.16.0","a-MCA",0.0779311849738016,0.87914210507541
"FA.16.1","a-MCA",0.0203763867667091,1
"FA.17.0","a-MCA",-0.119397267120973,0.755164747159707
"FA.18.0","a-MCA",-0.0267799461967653,1
"FA.18.1","a-MCA",0.151914080058978,0.647735014419146
"FA.18.2","a-MCA",0.0240218421496548,1
"FA.18.3","a-MCA",0.0429170688885983,0.97737245524214
"FA.18.4","a-MCA",-0.0943522814176226,0.832099352205015
"FA.20.0","a-MCA",-0.275696464799803,0.292095631890676
"FA.20.1","a-MCA",-0.186941145140445,0.541163516227642
"FA.20.2","a-MCA",0.0729232578800189,0.89454878025492
"FA.20.3","a-MCA",0.291324590693353,0.254497739098672
"FA.20.4","a-MCA",0.339376751640869,0.157936793795641
"FA.20.5","a-MCA",0.06034541761119,0.931412541421455
"FA.22.0","a-MCA",0.0227365444310062,1
"FA.22.1","a-MCA",-0.0431241266791958,0.976733378753263
"FA.22.2","a-MCA",-0.129817405100662,0.724818838314895
"FA.22.4","a-MCA",-0.00300507680830532,1
"FA.22.5","a-MCA",0.193380684418394,0.521776355026486
"FA.22.6","a-MCA",0.171616751931105,0.585533235777285
"FA.24.0","a-MCA",-0.242321758006789,0.380402035588914
"FA.24.1","a-MCA",-0.0676028751936134,0.911100632761562
"HexCER.d18.1.16.0","a-MCA",0.0669227727739781,0.913676166387861
"HexCER.d18.1.18.0","a-MCA",-0.0713661310029504,0.914409703938179
"HexCER.d18.1.18.1","a-MCA",-0.140515453978503,0.980704243499553
"HexCER.d18.1.20.0","a-MCA",0.066002604692088,0.916046958061949
"HexCER.d18.1.20.1","a-MCA",0.136445359691441,0.805307744441118
"HexCER.d18.1.22.0","a-MCA",0.0971829720440235,0.823030296857059
"HexCER.d18.1.22.1","a-MCA",0.05778645906847,0.938146137284896
"HexCER.d18.1.24.0","a-MCA",0.0368978744356805,0.991942457233737
"HexCER.d18.1.24.1","a-MCA",0.0344683929669221,0.998374759176708
"LPC.14.0","a-MCA",-0.00432557514569746,1
"LPC.15.0","a-MCA",0.162152001278868,0.615630152789874
"LPC.16.0","a-MCA",0.346508403964709,0.142168199882604
"LPC.16.1","a-MCA",0.177844448034879,0.567092280329703
"LPC.17.0","a-MCA",0.0448333540967694,0.972428625099164
"LPC.18.0","a-MCA",0.0850205080050301,0.860439760968714
"LPC.18.1","a-MCA",0.137493212130238,0.698163327991251
"LPC.18.2","a-MCA",0.468041915850972,0.01985361629953
"LPC.18.3","a-MCA",0.387466810606334,0.0817667571877518
"LPC.20.0","a-MCA",-0.193773919954183,0.520235459053109
"LPC.20.1","a-MCA",0.0950704113310538,0.829602215032865
"LPC.20.2","a-MCA",0.278329563187893,0.285935889858244
"LPC.20.3","a-MCA",0.279045467268264,0.283691749490351
"LPC.20.4","a-MCA",0.290961110802484,0.255586836724485
"LPC.20.5","a-MCA",0.208490867469779,0.58428797280213
"LPC.22.1","a-MCA",0.157686923672458,0.997219732997118
"LPC.22.4","a-MCA",0.172180263864474,0.917185271698806
"LPC.22.5","a-MCA",0.182229348875386,0.620797215102181
"LPC.22.6","a-MCA",0.273331711113502,0.306692145853202
"LPE.16.0","a-MCA",-0.098876112308894,0.818463693236885
"LPE.18.0","a-MCA",0.13897060005475,0.692315933405477
"LPE.18.1","a-MCA",0.0723776314767231,0.940163400601373
"LPE.18.2","a-MCA",0.204935329292129,0.89454878025492
"LPE.20.3","a-MCA",NA,NA
"LPE.20.4","a-MCA",0.049344574040754,1
"LacCER.d18.1.16.0","a-MCA",0.158645672442885,0.942375643265723
"LacCER.d18.1.18.0","a-MCA",NA,NA
"LacCER.d18.1.18.1","a-MCA",-0.555128822758935,0.712251784207422
"LacCER.d18.1.22.0","a-MCA",NA,NA
"LacCER.d18.1.22.1","a-MCA",NA,NA
"LacCER.d18.1.24.0","a-MCA",NA,NA
"LacCER.d18.1.24.1","a-MCA",NA,NA
"LacCER.d18.1.26.1","a-MCA",1,NA
"PC.12.0_16.0","a-MCA",-0.0225410211676194,1
"PC.12.0_18.0","a-MCA",-0.273547865746489,0.594824551174802
"PC.12.0_18.1","a-MCA",-0.0718526398262487,0.950120284477633
"PC.12.0_18.2","a-MCA",-0.580728304411629,0.900333725710054
"PC.12.0_18.3","a-MCA",-0.321406957200019,0.939770633292163
"PC.14.0_16.0","a-MCA",0.127043002154106,0.7547214808723
"PC.14.0_16.1","a-MCA",0.071549512493719,0.990655666647983
"PC.14.0_18.0","a-MCA",-0.794662783716169,0.579497988850199
"PC.14.0_18.1","a-MCA",0.154798251537061,0.643038137933249
"PC.14.0_18.2","a-MCA",0.0852982679335219,0.859901125419114
"PC.14.0_20.3","a-MCA",0.356985189083867,0.391746487963279
"PC.14.0_20.4","a-MCA",0.0815593726979495,0.937773201488751
"PC.14.0_22.6","a-MCA",NA,NA
"PC.14.1_20.0","a-MCA",0.652715305277196,0.453122513826669
"PC.15.0_18.1","a-MCA",0.286244431703946,0.315892399073657
"PC.15.0_18.2","a-MCA",0.131384278444532,0.7270723004907
"PC.15.0_20.3","a-MCA",-0.0431976582664401,1
"PC.15.0_20.4","a-MCA",0.244476520662413,0.786661839945616
"PC.15.0_22.6","a-MCA",-0.304932947643016,0.839030232015296
"PC.16.0_16.0","a-MCA",0.407159795193916,0.055648448473553
"PC.16.0_16.1","a-MCA",0.210388460832982,0.472134655838908
"PC.16.0_18.0","a-MCA",0.265968055230069,0.318628933601264
"PC.16.0_18.1","a-MCA",0.133713189139453,0.710972316907037
"PC.16.0_18.2","a-MCA",0.158545897117426,0.625797461191688
"PC.16.0_18.3","a-MCA",0.117721152182903,0.7599796437332
"PC.16.0_20.1","a-MCA",-0.0777990143059079,0.879325498320693
"PC.16.0_20.2","a-MCA",0.106443177773332,0.796673939467689
"PC.16.0_20.3","a-MCA",0.0960702660603912,0.826060979410749
"PC.16.0_20.4","a-MCA",0.0576130959073934,0.938683900874872
"PC.16.0_20.5","a-MCA",0.0298418712417927,1
"PC.16.0_22.1","a-MCA",-1,NA
"PC.16.0_22.2","a-MCA",-1,NA
"PC.16.0_22.4","a-MCA",0.120072986069285,0.806897651442274
"PC.16.0_22.5","a-MCA",0.146519571784358,0.685225734214075
"PC.16.0_22.6","a-MCA",0.22201031642009,0.488877458724077
"PC.16.1_17.0","a-MCA",0.321232750277793,0.551113710433084
"PC.16.1_18.0","a-MCA",0.139941746338435,0.688086890210162
"PC.16.1_18.1","a-MCA",0.140264285945598,0.686721922930533
"PC.16.1_18.2","a-MCA",0.264269434244153,0.32188289282022
"PC.16.1_20.0","a-MCA",-0.11193027236188,0.823030296857059
"PC.17.0_18.1","a-MCA",0.0847475885647073,0.861238739547409
"PC.17.0_18.2","a-MCA",0.0835223860442034,0.864280657755283
"PC.17.0_20.3","a-MCA",0.0083222132803488,1
"PC.17.0_20.4","a-MCA",-0.0717501075743047,0.911100632761562
"PC.17.0_22.5","a-MCA",1,NA
"PC.17.0_22.6","a-MCA",-0.0100796249460192,1
"PC.18.0_18.0","a-MCA",0.0659748748874631,0.916129047890514
"PC.18.0_18.1","a-MCA",0.0287576553879548,1
"PC.18.0_18.2","a-MCA",-0.0421880619189435,0.979847871220251
"PC.18.0_18.3","a-MCA",-0.0836204401633492,0.871823500064141
"PC.18.0_20.0","a-MCA",-0.32593483757913,0.184648145170551
"PC.18.0_20.1","a-MCA",0.0503263832516288,0.969186736567023
"PC.18.0_20.2","a-MCA",0.0220653137216254,1
"PC.18.0_20.3","a-MCA",0.0241844644117057,1
"PC.18.0_20.4","a-MCA",-0.0198301668073514,1
"PC.18.0_20.5","a-MCA",0.0405369599193908,0.997962627584801
"PC.18.0_22.4","a-MCA",-0.371811669011953,0.738093521189115
"PC.18.0_22.5","a-MCA",-0.165890910473283,0.686721922930533
"PC.18.0_22.6","a-MCA",0.0319584413034229,1
"PC.18.1_18.1","a-MCA",0.109500966087792,0.789580083236945
"PC.18.1_18.2","a-MCA",0.123659788159582,0.741570953290348
"PC.18.1_18.3","a-MCA",0.0650037033937707,0.939814523690662
"PC.18.1_20.0","a-MCA",-0.176170064112214,0.572457768266388
"PC.18.1_20.1","a-MCA",0.153606377191675,0.688086890210162
"PC.18.1_20.2","a-MCA",0.0665287829471973,0.927497289355852
"PC.18.1_20.3","a-MCA",0.151470915834407,0.649073542113406
"PC.18.1_20.4","a-MCA",0.138905929371407,0.692675473931233
"PC.18.1_20.5","a-MCA",-0.295788018034247,0.565684496184516
"PC.18.1_22.4","a-MCA",NA,NA
"PC.18.1_22.5","a-MCA",-0.1712350175407,0.841551716313536
"PC.18.1_22.6","a-MCA",0.0952221822229548,0.863783166615209
"PC.18.2_18.2","a-MCA",0.328669305302407,0.179748793101089
"PC.18.2_18.3","a-MCA",0.240358636647376,0.806897651442274
"PC.18.2_20.0","a-MCA",-0.115333192504437,0.76859399690546
"PC.18.2_20.1","a-MCA",0.29253277407254,0.258440659056208
"PC.18.2_20.2","a-MCA",0.0282645649583144,1
"PC.18.2_20.3","a-MCA",0.196309595352401,0.5412834024386
"PC.18.2_20.4","a-MCA",0.0865986568659046,0.873297067604975
"PC.18.2_20.5","a-MCA",NA,NA
"PC.18.2_22.6","a-MCA",-0.0201402686612096,1
"PC.20.0_20.1","a-MCA",NA,NA
"PC.20.0_20.3","a-MCA",-0.718938013747923,0.658432097209016
"PC.20.0_20.4","a-MCA",0.119003957049974,0.894928663939912
"PE.14.0_16.0","a-MCA",NA,NA
"PE.14.0_18.0","a-MCA",NA,NA
"PE.14.0_18.1","a-MCA",NA,NA
"PE.14.1_18.1","a-MCA",NA,NA
"PE.16.0_16.0","a-MCA",NA,NA
"PE.16.0_16.1","a-MCA",NA,NA
"PE.16.0_18.0","a-MCA",NA,NA
"PE.16.0_18.1","a-MCA",NA,NA
"PE.16.1_18.1","a-MCA",NA,NA
"PE.18.0_18.0","a-MCA",NA,NA
"PE.18.0_18.1","a-MCA",NA,NA
"PE.18.0_20.1","a-MCA",NA,NA
"PE.18.1_18.1","a-MCA",NA,NA
"PE.18.1_22.0","a-MCA",NA,NA
"PE.O.16.0.16.0","a-MCA",NA,NA
"PE.O.18.0.16.0","a-MCA",NA,NA
"PE.O.18.0.18.1","a-MCA",NA,NA
"PE.P.16.0.16.0","a-MCA",NA,NA
"PE.P.16.0.18.1","a-MCA",NA,NA
"PE.P.16.1.18.1","a-MCA",NA,NA
"PE.P.18.0.16.0","a-MCA",NA,NA
"PE.P.18.0.18.0","a-MCA",NA,NA
"PE.P.18.0.18.1","a-MCA",NA,NA
"PE.P.18.1.16.0","a-MCA",NA,NA
"SM.d18.1.14.0","a-MCA",-0.0279484746789372,1
"SM.d18.1.16.0","a-MCA",0.0644474676548111,0.920076487449864
"SM.d18.1.18.0","a-MCA",0.0220651232490928,1
"SM.d18.1.18.1","a-MCA",0.0166513072111976,1
"SM.d18.1.20.0","a-MCA",0.332762330635707,0.168848538772767
"SM.d18.1.20.1","a-MCA",0.0707115139231177,0.901557581454894
"SM.d18.1.22.0","a-MCA",0.136106707713829,0.703664342424389
"SM.d18.1.22.1","a-MCA",0.176126715668439,0.572457768266388
"SM.d18.1.24.0","a-MCA",0.180858015787873,0.559529758537061
"SM.d18.1.24.1","a-MCA",0.217823469992553,0.449066409956
"SM.d18.1.26.0","a-MCA",-0.212774261231391,0.464445111359874
"SM.d18.1.26.1","a-MCA",-0.209472536607525,0.474650542962219
"TG.36.0.FA12.0","a-MCA",0.0562115619916857,0.942375643265723
"TG.38.0.FA12.0","a-MCA",-0.169003595254859,0.620284799870408
"TG.40.0.FA12.0","a-MCA",-0.220184537651323,0.620797215102181
"TG.40.0.FA14.0","a-MCA",-0.319656179794573,0.493323332185757
"TG.40.0.FA16.0","a-MCA",-0.235341962771287,0.596052702231398
"TG.42.0.FA12.0","a-MCA",-0.20073618496142,0.74318451426931
"TG.42.0.FA14.0","a-MCA",-0.156885981871935,0.766254673805051
"TG.42.0.FA16.0","a-MCA",-0.0428290294153055,1
"TG.42.1.FA12.0","a-MCA",-0.159351223207725,0.919847850534435
"TG.42.1.FA14.0","a-MCA",-0.27167608554144,0.689025391697472
"TG.42.1.FA16.0","a-MCA",-0.115351824052369,0.896490402980286
"TG.42.1.FA16.1","a-MCA",0.101828265052526,1
"TG.42.1.FA18.1","a-MCA",-0.240976160740231,0.624241047359142
"TG.42.2.FA18.2","a-MCA",-0.0508017264395942,1
"TG.44.0.FA12.0","a-MCA",-0.115407559503109,0.867197010544935
"TG.44.0.FA14.0","a-MCA",-0.240307166262184,0.512707440803142
"TG.44.0.FA16.0","a-MCA",-0.162511388474683,0.671882501064819
"TG.44.0.FA18.0","a-MCA",-0.155012324403384,0.830769114491287
"TG.44.1.FA12.0","a-MCA",-0.0189316277116059,1
"TG.44.1.FA14.0","a-MCA",0.0304789764998458,1
"TG.44.1.FA14.1","a-MCA",-0.284882737640902,0.742144447486627
"TG.44.1.FA16.0","a-MCA",-0.145765206479156,0.720328458122985
"TG.44.1.FA16.1","a-MCA",0.172314933363691,0.786618249800055
"TG.44.1.FA18.1","a-MCA",-0.0399329271643555,1
"TG.44.2.FA12.0","a-MCA",-0.476524623397911,0.428168519000865
"TG.44.2.FA14.0","a-MCA",-0.279799722828764,0.731055388170783
"TG.44.2.FA16.0","a-MCA",-0.139431587900669,0.787922253081313
"TG.44.2.FA16.1","a-MCA",0.0255809080629142,1
"TG.44.2.FA18.1","a-MCA",-0.146679807534028,0.819836783547543
"TG.44.2.FA18.2","a-MCA",-0.378641491938356,0.53151221648401
"TG.44.3.FA18.2","a-MCA",-1,NA
"TG.45.0.FA14.0","a-MCA",-0.299882552829175,0.457364878101771
"TG.45.0.FA15.0","a-MCA",-0.135072992808694,0.83762162850123
"TG.45.0.FA16.0","a-MCA",-0.113519094011908,0.82610502173524
"TG.45.1.FA15.0","a-MCA",-0.00172503869783495,1
"TG.45.1.FA16.0","a-MCA",-0.391088356207299,0.273044757322441
"TG.45.1.FA18.1","a-MCA",-0.128575806804421,0.871284113340338
"TG.46.0.FA12.0","a-MCA",-0.281575465787724,0.505324410061966
