,sample_ID,condition,Slc13a2,Pnpla5,Slc13a5,Ifi27l2b,Crybb3,Apoa4,Gnat1,Lrg1,Saa3,Pnpla3,Mmp12,Sprr1a,Saa2,Prtn3,Cela2a,Saa1,Gm10680,Gm19619,RP23-310J6.2
1,7A_Index01_control8.count,control8.count,0.175047919919973,0,0.0276266060038166,0.205201346924115,0.04183599,32.70133,0.6790925,111.5845,0.6207396,0.05207314,0.008613027,0,2.024231,0.03592441,0.004293054,4.832973,0.6611375,0.07997178,0.0404101
2,7A_Index02_control8.count,control8.count,0.272041359753268,0,0.0539353265865304,0.260174729673751,0.03855879,39.77019,1.673487,147.2405,1.617406,0.02188177,0.04158173,0,7.523868,0.02546946,0.005652515,13.58122,0.8008569,0.1261104,0.02660328
3,7A_Index03_treated8.count,treated8.count,0.00546717589350617,0.117153991133807,0.0517261700525951,2.28594477145334,0.04782304,1299.343,0.7933225,116.562,0.9523207,0.3989456,0.4745041,1.74925,22.61326,0.07502346,0.00306714,31.9132,33.97102,0.4770127,0.3681013
4,7A_Index04_treated8.count,treated8.count,0.0189179294781222,0.14713973030172,0.0414495628347594,3.87796501152039,0.02758014,1811.701,0.9800737,127.9408,1.275041,0.4031823,0.8984,7.760734,37.76084,0.09108834,0.005660345,53.55731,42.81802,0.643686,0.9723649
5,7A_Index05_treated6.count,treated6.count,0.0105712970236602,0.0377547037662158,0.0421125886504882,2.51976540153277,0.07513215,1224.746,0.9444651,116.4125,0.8033564,0.1270359,0.3794265,1.537426,20.2301,0.02290498,0.0118612,33.15489,26.63249,0.4136439,0.1953846
6,7A_Index06_treated6.count,treated6.count,0.0138128779092891,0.0568063154905348,0.0350165367529871,1.04759005108861,0.04942858,825.8129,0.879439,147.3328,1.055059,0.1221746,0.2123174,0.5843964,13.82067,0.0761818,0.005635754,22.74625,21.17714,0.5188154,0.2586129
7,7A_Index07_treated4.count,treated4.count,0.019253975939577,0.0425683948121245,0.043829451813314,0.96704400741542,0.01203003,645.9417,0.8444301,117.4842,0.6294296,0.06053215,0.1816242,0.5333682,9.872943,0.08343574,0,16.80768,15.24694,0.4051048,0.2033501
8,7A_Index08_treated2.count,treated2.count,0.0183555488220949,0.0268946279895385,0.060466683504755,1.06014778104629,0.06175444,838.0615,0.9753217,155.5384,0.8969887,0.06378208,0.313606,1.387238,13.3387,0.04487011,0.03802207,21.08745,25.41271,0.2786458,0.1565804
9,7A_Index09_control8.count,control8.count,0.235369786419917,0.00406090808155963,0.0662460373794727,0.162616066269473,0.05221723,27.04518,0.7036091,115.9208,1.17672,0.01185313,0.005119179,0,4.939075,0,0.01913693,7.978506,0.84877,0.05305839,0.0540402
10,7A_Index10_treated8.count,treated8.count,0.0144218695351694,0.0858446241800908,0.0359075060720004,2.01480653108443,0.0105127,1397.839,0.8993449,104.265,0.8373759,0.3424408,0.3919813,0.8700453,14.50523,0.03472008,0.005393875,20.71132,38.27707,0.7080197,0.203088
11,7A_Index11_control8.count,control8.count,0.255075892881046,0,0.0150698565991657,0.171750490683956,0.03781739,30.56255,0.5806799,125.831,1.004098,0.05257954,0.02162693,0,2.84537,0.03122467,0.004850851,5.209216,0.8964469,0.0588407,0.03424544
12,7A_Index12_treated6.count,treated6.count,0.0111738274504834,0.0133022007417385,0.0797522303195311,1.96054658761188,0.04072535,872.8562,0.4466652,135.5945,1.284849,0.07549685,0.4359875,1.444493,17.02733,0.09146187,0,29.34055,18.63825,0.5793395,0.2360239
13,7A_Index13_treated4.count,treated4.count,0.0287712235803425,0.00978614901262215,0.261977466157031,2.44924445530098,0.03595294,659.3698,2.533523,121.6322,1.670541,0.06664973,1.011586,0.6907441,20.39221,0.02968525,0.01383509,37.72559,12.5565,0.4734903,0.238752
14,7A_Index14_treated4.count,treated4.count,0.0429707084833627,0.0146159149339567,0.0774391339840516,0.357673264497215,0.02684841,215.3133,0.6772729,160.3955,1.41174,0.07110245,0.07984087,0.052905,8.763984,0.08276023,0.02295904,18.64677,5.487453,0.3063419,0.09725004
15,7A_Index15_treated2.count,treated2.count,0.0179169986920303,0.0266622509550814,0.0579925618578345,1.04987565419046,0.009795338,889.9146,1.020611,138.3142,0.9026248,0.1037637,0.2173474,0.2605741,11.54253,0.05176136,0,20.06904,26.06773,0.3091691,0.1182686
16,7A_Index16_treated2.count,treated2.count,0.034159687098679,0.0290474080150538,0.0704705267208362,0.368340969989186,0.04268645,404.2312,0.6788522,163.0487,1.083376,0.1017416,0.1049692,0.1577137,8.844573,0.09163674,0.02737703,18.40561,10.79324,0.1873895,0.1803881
17,7A_Index18_control8.count,control8.count,0.292729606783018,0,0.0328217924510262,0.130923982091242,0.01695758,24.46532,0.6788502,111.8369,0.5561846,0.01571802,0.007758131,0.02506128,2.198446,0.01680163,0.00435031,4.887616,1.018332,0.06219222,0.03071178
18,7A_Index19_treated8.count,treated8.count,0.00757607452254304,0.0676436506961259,0.0509297661716611,1.77572959227564,0.01656755,1534.865,0.5542114,129.0222,1.073847,0.2808047,0.6063755,3.085093,20.11721,0.02735865,0.004250253,32.17986,32.30839,0.4198088,0.2100379
19,7A_Index20_control8.count,control8.count,0.114533975426843,0,0.0224676382837705,0.324017778512065,0.07589874,34.52307,1.398495,116.0791,0.3793328,0.03417035,0.01909812,0,3.479073,0.03008029,0.003894224,6.097164,0.8635924,0.1231532,0.03665595
20,7A_Index21_treated8.count,treated8.count,0.00736774424317241,0.017542281437723,0.0862176298548862,1.97569043452793,0.07250387,892.4834,1.70527,194.2656,1.64826,0.08320496,0.2450945,0.8572166,20.53383,0.1170679,0.004133378,37.03922,17.5687,0.5712124,0.2334425
