,sample_ID,condition,Slfn4,Cyp51,Prg4,Tmem86a,Cntnap1,Slc13a3,Slc2a4,Dnah1,Etnppl,Elane,Wif1,Lpin1,Exoc3l4,Cxcl14,Tsc22d1,Irg1,Fam83f,Parvg,Csad,Fabp2,Cd4,Slc37a1,Cyp2c55,Agap2,Nptx1,Gm4956,Marco,Lcn2,Zbp1,Col15a1,Orm3,Cd72,Ttc39a,Extl1,Gabrd,Cgref1,Stap1,Sult1e1,Gpnmb,Clec4e,Bcl2l14,Dkk4,Msmo1,Smpd3,Gsta4,Ngp,Slco2a1,Oas3,Chrm1,Ypel4,Ifit1,Acot11,Grin3b,Fam65b,Klf10,Txnip,Tmc3,Cyp3a16,Ptk6,Chil3,Lrrc18,Oasl1,Dlgap3,Trim72,Slc35g1,Insig1,Pigz,6330416G13Rik,Als2cr12,Themis,Rarres1,Apol10b,Ism2,9030619P08Rik,Raet1e,Cyp3a44,Sytl5,9130230L23Rik,Ces2a,Cyp3a11,S100a9,Gsta2,Idi1,Cyp2d41-ps,Blnk,Cyp3a59,Orm2,Cfd,Tlr12,Chil1,Zbtb16,Cyp2d40,Adgrv1,Prok1,Tmem28,H2-Bl,Ly6a,Raet1d,Mup18,Ifi27l2a,Xirp1,Gm11798,Gm13502,B430219N15Rik,Gm16063,Ttc39aos1,Gm15318,Gm13203,Gm12503,Gm11752,1200007C13Rik,Ugt1a9,Gm765,Hmgcs1,1110002J07Rik,Tnfsf12,Tcf24,Gm19744,Gm28818,Gm28347,Gm37844,Gm31121,Cyp3a63-ps,Gm43072,Gm42879,Gm43800,Cc2d2b
1,7A_Index01_control8.count,control8.count,0.00959256096953941,7.32107569664086,2.75772214824744,1.42184448612247,0.12256274885336,0.182927717150808,0.0212734139731555,0.000756870306025181,9.29273251209556,0.050475501920558,0.000720905603144825,3.51284611077405,0.0349581295567015,0.197663789541844,0.3571976,0.007514523,0.07235075,0.05327052,44.92886,11.29587,0.06334107,0.0296057,0.4561843,0.07752871,0,1.359516,0.1040818,0.4648417,0.3104446,0.03342337,0.186571,0.1236239,0.01071957,0.1662143,0.00915212,0.0405509,0.01957798,0.00307679,0.002796528,0.005948765,0.001133405,0,9.468776,0.01153541,3.725534,0,1.421173,0.0459954,0,0,0.6286586,0.1559009,0.01484803,0.008402569,10.28004,60.49223,0.00590812,0.1057527,0.07156818,0,0.02613914,0.507773,0.007798066,0.04750112,5.253216,25.32982,0.005913158,0.2100805,0.0004897215,0.004351266,0.9838663,0.02209463,0.00456407,0.3869908,0.03300783,0.01507523,0.008607254,0.02025105,41.39098,223.7584,0.1011348,0.7715059,1.981632,0.1207699,0.01795347,0.8610822,1.023233,1.212608,2.580197,0.01201047,0.1220245,5.466666,0.004065412,0.4382736,0.04328224,0.4563248,1.097182,1.211855,0.7891577,0.8574001,0.01220995,0.08241928,1.089485,0.2049357,0.01692288,0,0.3173768,0.02504928,0,0.1350503,0.004037447,0.1500428,0.007410629,17.22212,0.04021962,0.4256899,1.509783,0,0.01042543,0,0,0.0002465155,0.03398762,0.474737,0.2388695,0.2464631,0.0006086505
2,7A_Index02_control8.count,control8.count,0.0168402535444794,3.68652250740606,2.20844687188591,2.09189339180324,0.224043643439729,0.205120821507665,0.0280099615370345,0,19.3165061190065,0.0332296656554845,0,2.568278736401,0.0552337785853542,0.0440434942321745,0.253401,0.05276858,0.1041233,0.0751494,46.42062,12.01106,0.04977036,0.08770678,0.4205381,0.1686528,0,0.9301356,0.2097141,1.302773,0.87406,0.0295392,0.1133776,0.2480324,0.01909553,0.1036651,0.009640221,0.1042414,0.03130142,0,0.02209255,0.003916265,0.01865394,0,4.785903,0.01704051,3.785478,0.02907341,1.476494,0.08633098,0,0.0137674,1.458057,0.05864835,0.00488747,0.009184684,7.803455,81.46148,0.007001114,0.1288215,0.06980098,0.001581693,0.01456082,0.6771937,0.00980074,0.01786945,4.701007,20.71206,0.002595216,0.257094,0.0006447992,0.001322114,0.2935483,0.03173589,0.003004676,0.09741154,0.009690464,0.01290187,0.01307639,0.01523648,53.30782,261.5644,0.245835,1.045203,0.9744452,0.2650225,0.01061329,2.168926,1.494899,0.1052703,2.819423,0.003953442,0.08242379,4.082859,0.002705804,0.6320176,0.01937599,0.3004135,1.334269,0.6964767,0.7033613,0.8780401,0.05144455,0.1446915,0.5090114,0.2158653,0.01485451,0.1474021,0.3810073,0.09894453,0,0.2462068,0.04252772,0.3451358,0.00473082,7.844124,0.05295577,0.6956682,2.138598,0.008444517,0.02470824,0.0285275,0,0,0.06392902,0.7576602,0.1572556,0.3940471,0.0004006945
3,7A_Index03_treated8.count,treated8.count,0.0479733231074384,2.26741738748388,4.30745120709617,5.58498626800878,1.8941032506805,0.549457489924405,0.243178048459652,0.00432592164540486,2.41951497826667,0.144247346330397,0.00154513649570073,1.52627913986917,0.082419376018509,0.3823786391339,1.037444,0.1252695,0.2548459,0.1540472,9.709281,38.67059,0.05693188,0.07154206,0.08954303,0.3756873,0.02661232,0.2891543,0.08337385,6.224552,0.803483,0.1000958,3.957813,0.4416107,0.1252393,0.9000039,0.0444629,0.7532532,0.293734,0.06374748,0.1668295,0.1020012,0.0291511,0.09830824,3.425235,0.2834233,1.482004,0,0.3390357,0.1300459,0.01214416,0.0896448,1.289164,0.5103122,0.2970257,0.02446567,4.823579,39.34335,0.01266303,0.0339223,0.1477128,0.01201551,0.04740553,0.9993854,0.001519437,0.0921142,2.718515,17.67321,0.01689844,0.3599678,0.02729047,0.09995758,3.811532,0.02870062,0.00652153,3.252737,0.01688995,0,0.002207472,0.006889622,13.54243,61.56145,0.2890199,0.1677856,0.3706182,0.2465232,0.04188316,0.6530439,4.075802,60.32002,14.76884,0.06006552,0.02136937,12.32106,0.02119329,0.5666003,0.4786829,0.3678149,1.992345,0.5738299,1.604683,2.790564,0.0453612,0,0.2008708,0.6442249,0.02418085,0.88708,0.5168507,0.09544675,0.004118573,1.499239,0.01730714,0.1831039,0.01155156,8.53022,0.1458834,0.8229424,0.03536566,0.01701931,0.03128315,0.07739725,0.2515174,0.007397086,0.01387554,0.390562,0.4654322,0.1635063,0.00304392
4,7A_Index04_treated8.count,treated8.count,0.0358351079948112,1.92840277232521,4.86569146177304,6.79289119914827,1.80581422650433,0.472617270962508,0.258048594016233,0.000997925098316992,3.06940682218909,0.216292014498372,0,1.80380041343577,0.175149242174151,0.886099543267522,1.407077,0.07265731,0.2773072,0.1889699,12.9901,34.61805,0.03906323,0.06429259,0.07018676,0.3466617,0.04560446,0.4026469,0.1569836,15.58488,0.6847707,0.1506171,5.014449,0.617059,0.2411032,0.7612637,0.03378751,0.8198106,0.2839468,0.04462384,0.4102001,0.1176507,0.01867978,0,2.994573,0.3568625,2.204417,0.06793193,0.3025024,0.1922557,0.003201687,0.1930106,1.331756,0.5490168,0.2593947,0.01818578,3.665454,36.34404,0.03038018,0.04458087,0.2027032,0.04434875,0.0238598,1.032315,0.002336742,0.0447355,3.143833,14.51462,0.02079049,0.3999672,0.02647339,0.09282326,3.941944,0.007944961,0.01955745,3.429134,0.0174964,0.006956782,0.004655823,0.005085863,10.56503,65.29521,0.3692633,0.3198811,0.369343,0.3260501,0.04444435,0.7888616,8.547512,29.12997,14.14657,0.2137816,0.01814788,11.71166,0.03115984,0.5182385,0.2807704,0.6248,3.264947,0.5364934,1.464698,3.307679,0.02253816,0.07244594,0.09267573,0.7025342,0.01487509,0.9527316,0.381535,0.08807252,0.003800372,0.8903118,0.01596999,0.2239218,0.01687689,9.870888,0.1142166,0.904631,0.02855414,0.01087228,0.03986286,0.09998454,0.2166128,0.005200447,0.01280351,0.4931613,0.4581044,0.2321135,0.006018742
5,7A_Index05_treated6.count,treated6.count,0.0220859325536716,1.51113593736084,4.98899148910364,5.14507665168637,1.54354496031338,0.511250657552976,0.340900473431263,0.00418228748310199,2.95954180770132,0.261483529037013,0.000995888746238641,1.30925907848814,0.0579511231371202,0.331874035019399,0.9003001,0.05190436,0.2742768,0.1349152,12.02792,39.13875,0.05080759,0.06315215,0.09774023,0.2654251,0.02205318,0.2948018,0.1557648,6.604987,0.7929883,0.1179611,2.775628,0.4594772,0.1489557,0.7879429,0.00758587,0.5281761,0.3371069,0.06163086,0.1352134,0.04519828,0.02661746,0,2.787521,0.2627414,1.982991,0.01016791,0.4029914,0.1365433,0.006709108,0.101113,1.155517,0.4675461,0.2102447,0.03131877,3.771884,42.15531,0.02530133,0.01888253,0.1537935,0.008297538,0.03055435,0.943575,0.002448312,0.05155857,2.600658,16.07196,0.02722893,0.3684873,0.01961912,0.1139011,2.763733,0,0.03310122,3.396314,0.01432652,0.002082554,0.003963472,0.005328692,12.69682,51.48545,0.1182176,0.3070011,0.4204201,0.2224487,0.0440356,0.726992,4.627877,24.92471,15.16695,0.0829588,0.0336408,9.712829,0.01993417,0.5718131,0.2690634,0.4929941,2.252488,0.6623108,0.3186665,2.610172,0.0303612,0.5313345,0.1456509,0.3114173,0.03506696,1.166934,0.461004,0.1499511,0.003981824,1.162438,0.08366243,0.1304153,0.02078492,7.329402,0.1239439,0.9028536,0.1196699,0.01645422,0.03888572,0.04489645,0.1377942,0.002724373,0.003353707,0.7750616,0.4199799,0.1337578,0.005465297
6,7A_Index06_treated6.count,treated6.count,0.0251854773807113,1.21806602308984,4.5092767792961,4.51143910089671,1.17781813588534,0.359979174771613,0.525025822452202,0.00149038458288615,4.48349675235156,0.513532544828856,0.00094637666725739,3.03838144708486,0.0917833291879046,0.239524881654886,1.286031,0.0460356,0.4064228,0.08658181,8.925458,38.80813,0.07778705,0.06744256,0.07607391,0.3628559,0.03842075,0.4153879,0.2090923,3.765966,0.9073522,0.1099928,2.505752,0.4095855,0.03642226,0.9945308,0.03364073,0.3777053,0.3552273,0.04644952,0.07342346,0.01561861,0.02529413,0.0541913,2.316306,0.237121,1.350671,0,0.4394288,0.1053455,0.007969444,0.03431645,1.995862,0.6186805,0.2923787,0.04433038,2.707069,24.59822,0.01628749,0.01888817,0.2540181,0.004731008,0.08974545,1.414879,0.001861272,0.06235761,2.327145,12.06963,0.02587521,0.5344057,0.01800084,0.05858637,3.879924,0.01582089,0.0269619,1.778092,0.008637,0.002968525,0.0008691744,0.01139348,18.33406,43.55685,0.1429785,0.2280399,0.1815992,0.4001298,0.04040333,0.5573154,2.750922,63.91949,11.14492,0.03153375,0.02467119,14.45444,0.03184554,1.515997,0.325006,0.8678478,1.670392,0.3669465,1.928508,1.834248,0.0705265,0.2524592,0,1.156836,0.04813402,0.3072905,0.5269268,0.1753798,0,1.336485,0.03710141,0.06494695,0.01149718,4.981146,0.07310595,0.7462011,0.0771674,0.02525843,0.04379551,0.07110726,0.02310769,0.02071142,0.006373945,0.2266241,0.3848464,0.1848841,0.003995063
7,7A_Index07_treated4.count,treated4.count,0.00919453633826455,1.40287463297703,4.12791491304574,4.26234793563249,1.29852276658312,0.359289823405647,0.293626297448805,0,3.7964425585662,0.217715036822277,0.00103648954418247,0.9678353309441,0.0779051934095564,0.345404010821933,1.260263,0.04321633,0.3217457,0.07659025,10.93161,35.38053,0.05728552,0.05007753,0.07362949,0.26413,0,0.3729455,0.07822338,2.635134,0.7691731,0.0915016,1.310271,0.2412206,0.08340708,0.9118833,0.0473708,0.3997884,0.3428078,0.01327106,0.05025922,0.01282935,0.02770261,0.02967567,2.751027,0.2362374,1.509104,0,0.3872071,0.1153764,0,0.03758402,1.524083,0.4534424,0.2668488,0.04877941,3.354653,41.40959,0.01359114,0.02689268,0.4115916,0,0.07082727,1.241095,0.00101925,0.07317346,2.096423,14.01429,0,0.4361485,0.01267384,0.07972489,3.229102,0.01155156,0.03937224,1.931035,0.01779651,0.01083728,0.002538496,0.008318901,19.64959,61.86806,0.111852,0.1981285,0.1690572,0.3720818,0.03476824,0.7281932,2.146286,77.70761,13.41368,0.06907272,0.02473694,12.12739,0.02659194,1.050221,0.2999462,0.6729085,1.621304,0.6918557,0.951335,1.689305,0.08777494,0.3554976,0.2021185,0.383043,0.03649658,0.468244,0.4361804,0.1200495,0.004144156,1.344254,0.05804881,0.1098451,0.0129148,5.755475,0.1289969,0.8640566,0.09785969,0.01053848,0.01798713,0.07787801,0.1771558,0.009215186,0,0.1654686,0.6244311,0.0379666,0.001750187
8,7A_Index08_treated2.count,treated2.count,0.0448389130267525,2.04467315197985,3.3484756947383,5.73557647689074,1.41746701027541,0.46824464940439,0.163289662813475,0.00111722237346738,3.39745142087807,0.279402360659034,0.0005320672924937,2.01025407375573,0.110944251549406,0.341150105639595,1.711786,0.07764573,0.2061441,0.09173856,15.00843,35.54811,0.07087772,0.07583446,0.06465218,0.3408344,0.01178221,0.4915147,0.1431608,3.058298,0.6830516,0.08853538,1.218111,0.35193,0.07911624,0.5552663,0.06214378,0.5273161,0.2105514,0.01362502,0.08668754,0.1229343,0.04182571,0.02031145,2.44585,0.2691178,1.520776,0.05432348,0.5652135,0.127121,0.0215066,0.1389112,1.774399,0.2841358,0.3013628,0.04703817,2.147648,27.67706,0.01220943,0.04035301,0.1291185,0.00177323,0.03710018,1.305629,0.001569653,0.06510844,2.657253,10.4508,0.02327589,0.4838098,0.01662628,0.05088944,3.435605,0,0.01347412,2.444572,0.01168697,0.0066758,0.002606203,0.0156581,16.06362,64.54219,0.1607694,0.1905206,0.3930766,0.6112094,0.03785894,0.7434446,2.058699,37.80512,16.1728,0.09307596,0.02422456,11.69205,0.02512501,1.381164,0.2287236,0.5267778,1.799511,0.2350286,0.7168505,1.804674,0.03965107,0.4055326,0.3631414,1.179778,0.04163334,0.3455268,0.5959372,0.1355766,0.002127344,0.9507408,0.02979854,0.1067889,0.007292593,6.410291,0.1598383,0.8538362,0.1507047,0.0148769,0.04001156,0.0479731,0.07794896,0.006549903,0.01075059,0.08494099,0.6731401,0.05197232,0.002695302
9,7A_Index09_control8.count,control8.count,0.0085520520352877,7.57482808678905,1.99552645008191,1.74489713030329,0.135789754838885,0.208648853479849,0.0303454051687518,0,10.6719487015397,0,0,8.32428247759152,0.0654490351790955,0.336179488634211,0.41475,0.00446628,0.08100356,0.063323,43.25074,8.765871,0.06375695,0.04036784,0.4397426,0.05709842,0.01897637,1.318656,0.08013857,0.7933186,0.4316925,0.03347164,0.3454621,0.225677,0.01124331,0.2339762,0.03263754,0.0964062,0.02119456,0.005486098,0.001246594,0.042428,0.01313604,0.02453514,9.695763,0.02558499,2.949089,0,1.462174,0.066308,0.008659606,0,0.7504171,0.1524638,0.03309364,0.008480535,13.89043,72.7261,0.006320716,0.1128815,0.08034723,0.004283932,0.01254821,0.592884,0.005688169,0.02419923,5.182011,26.15223,0,0.2378076,0.0008732024,0.002586188,1.193763,0.01790729,0.01220701,0.3348663,0.02047992,0.02822402,0.002361114,0.03954775,48.32184,239.2108,0.1109719,0.7111802,1.960926,0.2461027,0.01502608,1.464827,1.387108,0.6177578,3.062598,0.01070769,0.2989912,4.90819,0.002230421,0.2170744,0.08643578,0.4172586,1.331399,0.8517058,0.9416846,1.245685,0.02612529,0,1.629291,0.5115775,0.03520359,0.07258744,0.2787898,0.01488812,0,0.01852329,0.01439801,0.1839485,0.0008008237,12.76524,0.03309875,0.6116891,0.4302838,0,0.007435664,0.01931631,0.0627721,0,0.02597226,1.436458,0.3484787,0.2040342,0
10,7A_Index10_treated8.count,treated8.count,0.0321393990678676,2.64893697852891,8.05100866800835,4.13700099538898,1.53093120882117,0.279874729457444,0.384887791102666,0.00190189227505611,3.08740443171798,0.221964306475801,0,4.20593331234578,0.0834519021604804,0.336225682999939,0.8064548,0.03147129,0.209288,0.09242727,8.429561,35.72603,0.06417977,0.04594943,0.1134464,0.2668147,0.006685778,0.5085069,0.04359012,4.922588,0.6476277,0.07305763,2.975221,0.2662686,0.1632038,0.7320207,0.02759735,0.718137,0.3724861,0.03092589,0.1862214,0.02989656,0.01708838,0.05186548,3.214399,0.2481538,1.768777,0,0.3321764,0.05655993,0,0.144512,0.9980639,0.4447202,0.1678981,0.02270782,4.145416,43.07023,0.0103923,0.03796277,0.1864999,0.00301864,0.05305198,0.8355423,0.0008906944,0.0341036,2.823297,13.95958,0.004952935,0.3307577,0.02707299,0.06924882,2.819343,0.01009459,0.01433596,1.94489,0.00784599,0.00189408,0.006100384,0.002423219,11.87225,70.23123,0.0586466,0.1877705,0.4518935,0.3034751,0.04879693,0.5041081,4.73738,51.59958,7.20613,0.06036073,0.19555,7.069822,0.03311689,1.136273,0.3306342,0.4851297,1.742297,0.4401085,1.159307,2.114609,0.01840898,0.2761417,0.7948158,0.2059881,0.02834964,0.56263,0.4925836,0.1258895,0.007242926,0.9397649,0.01014545,0.1124985,0.02313606,7.152756,0.08551686,1.34655,0.09329112,0.03453482,0.03929612,0.02722217,0.1916715,0.02230032,0,0.6145434,0.2728365,0.243305,0.00076472
