,sample_ID,condition,Timp1,Col1a1,Ltbp2,Epdr1,Plin4,Cd36,Gstm3,Ctse,Gprc5b,Mogat1,Ptgds,Scube1,Wfdc2,Avpr1a,Hormad2,Aebp1,Lrrc14b,Elovl7,Ldb3,Rnase4,Pdlim2,Sybu,Boc,Cdkn1a,Cxcl13,Grm8,Cidea,Fasn,Cd63,Gm7628,Nfasc,Sdcbp2,Lrrc39,Ptgfr,Nr4a3,Tnc,Svep1,Enho,Ephb2,Slc30a3,Ereg,C8b,Mgp,Cidec,Far2,Acsm2,Morc4,Plat,Bmper,Anxa2,Cyp1a2,Tmem266,Cspg5,Thsd7a,Itgbl1,Tspan8,Gpc1,Ly6d,Wnk4,Acta2,Dnajc12,Cpe,Dusp8,A4gnt,Rbm24,Susd4,Cyp7b1,Slc39a5,Thbs1,Cyp2b9,Adgrf1,Tmem45b,Fam222a,Mfap4,Wdr63,B430212C06Rik,Fbxo40,Pls1,Sarm1,Mmp13,Fam83a,Cadm4,Ntrk2,Serpina9,Cxcl2,Tubb2a,Col25a1,Gstp1,Dnaic1,Fabp4,Nrg1,6030419C18Rik,Slc22a27,Mas1,Lgals1,Tmem139,Ang,Serpina1e,Gsta1,Cyp2a4,Slc22a29,Ighg1,Mup16,Gm15998,Gm17077,BC035947,Cyp2a22,Gm21885,Smim22,Gm3839,Mrgprb11-ps,Gm3934,Gm37928,RP23-306P12.3,RP23-366O14.2,RP23-245P16.2,RP24-64C6.3
1,7A_Index01_control8.count,control8.count,0.0105203316366152,0.540265535673563,0.0113341492562799,0.0188058129355183,4.28959585435911,1.03977604226904,10.9181952165662,0.013570379397392,0.0819804733599653,0.0380265307344895,0.237652967962543,0.00353401481728848,0.650447365578034,4.05096463256729,0.0012613313704018,0.279688130465447,0.358304248897457,0.00760496312566797,0.00155132586610301,38.8593938558119,0.07855869,0.001654934,0.004882461,0.4539376,0.4670026,0.001173914,0.007936596,20.65715,0.3761869,0.1337863,0.000542922,0.01106257,0.06796055,0.003506862,0.004074893,0.01598353,0.007602731,2.32564,0.002423668,0.01846477,0.01010837,7.087443,0.3262886,0.9397813,0.0007096371,0.02022652,0.06724721,0.009575748,0.001559024,0.2562829,67.04361,0.008844752,0.08313995,0.002251245,0.001370835,0.02137779,0.2524771,0.3686486,0.2511938,0.1889776,0.2012505,0.006698554,0.0455673,0.007309636,0,0.1818334,0.735802,0.172648,0.05356695,0.0296849,0.1197331,0.003159695,0.06221785,0.3740933,0.001422318,0,0.03382259,0.006744501,0.01418228,0.008886861,0.01127222,0.2551544,0.007489801,0.0379303,0.03487276,4.492718,0.0003079437,49.74105,0.001054587,1.740401,0.0006743178,0,0.01229856,0.007993742,5.78323,0.05577484,9.876403,310.6684,0.08992876,0.0971271,0.01105032,0.02274693,3.075034,0.6375279,0.253622,0,0.9796635,0.2891905,0.6821231,0.0366949,0.1934725,143.7385,0.01163832,0.1694376,0.1907084,0.0885594,0.006154761
2,7A_Index02_control8.count,control8.count,0.0277035068156228,0.892008775698105,0.0132274515375651,0.0123804786965841,4.0195343697073,0.764450301187807,10.6825822885643,0.00935924252433707,0.0669506397714484,0.00698626123757841,0.445658794856771,0.00542863292965337,0.410044156512147,6.21527196979901,0,0.421309370190753,0.393138913623915,0.0021767803180689,0.00306386491814036,48.9308479994206,0.1057863,0.001089497,0.00428571,1.218106,0.3381873,0.002907296,0,15.33991,0.3653942,0.1601379,0.001787116,0.00910356,0.07221297,0.002308682,0.02222754,0.01088532,0.006737668,6.037103,0.001007734,0.04290338,0,8.433547,0.4389522,0.59451,0.002102297,0.01570579,0.07526075,0.03025933,0.003622434,0.264479,48.40254,0.01647423,0.1818844,0.00289184,0.00180493,0.008735397,0.2476913,0.5865089,0.4604024,0.1244101,0.1966363,0.01259965,0.1257999,0,0,0.1070685,0.6145983,0.2512479,0.1389851,0.01529416,0.3088977,0.000832052,0.06791664,0.5655268,0.001872717,0,0.03750149,0.000341548,0.03236707,0.04680408,0.07791916,0.1925755,0.00937815,0.0199766,0.0918315,5.719078,0.002703058,69.10419,0.006479843,2.051797,0.0005327104,0.005682452,0.008407949,0,2.343597,0.0367184,11.95283,516.1875,0.160506,2.92934,0.004310986,0.02995009,0.7792314,0.8029146,0.6388327,0,0.7633202,0.1427876,1.114917,0.04789839,0.1910539,200.5416,0.09194265,0.04182985,0.5064542,0.07773538,0
3,7A_Index03_treated8.count,treated8.count,0.202936604444858,3.05523238123605,0.020243990784185,0.0219856407157623,8.69814199193663,3.01024271931081,7.45619450704995,0.0507846630099711,0.120106231251414,0.26283232401665,0.0308707903040077,0.0120631716351147,2.51223501276434,1.24779049083485,0.00829056673102984,0.403028891939083,0.636090728609739,0.0122840002058826,0.015516660724036,23.3640871564093,0.3826749,0.01241473,0.002790589,0.8319315,0.07507045,0.0001597512,0.8221849,56.68799,1.453968,0.0695146,0.0009697162,0.01778302,0.298138,0.03173571,0.01663586,0.0476461,0.01775752,0.3622305,0.06835148,0.00931201,0.01624915,2.04124,0.4662288,14.04888,0.005576943,0.005187424,0.1695276,0.06567667,0.006945075,0.9708315,28.86862,0.001849483,0.01644887,0.005021299,0.003373428,0.02738643,2.520609,8.362256,0.06118073,0.2941367,0.1626492,0.005811245,0.1218195,0.1253355,0.01074158,0.09549124,0.2960127,0.6362109,0.3376809,0.394656,0.006944401,0.01264155,0.02279542,0.6731196,0.007113151,0.1080201,0.1615192,0.07264902,0.005403957,0.2285694,0.1530137,0.1296645,0.03556862,0.003613201,0.3820235,15.46071,7.333601e-05,20.47276,0.002009178,3.619298,0.00359715,0.05241753,0.04089155,0.03426641,16.09559,0.146109,5.599647,15.02568,0.08566522,0.2211861,0.02105285,0.02600219,2.528218,0.2277385,0.1102946,0.04312622,2.830661,0.5165248,0.134438,0.004520068,1.485918,62.60101,0,0.03782918,0.01385595,0.4780444,0.02418472
4,7A_Index04_treated8.count,treated8.count,0.547902149838957,8.11457854207525,0.0326049818216051,0.0383199405312554,10.8780965145617,3.53371118854086,23.0339651453991,0.0434529583717727,0.264068815721808,0.319481188207887,0.00949523638335709,0.0328757796049546,3.26410662543812,0.818763406276223,0.0182935655419188,0.784408387000507,0.930524588119688,0.0427239925541155,0.016363247495679,16.874617907556,0.4402097,0.008728051,0.01416243,2.150088,0.04618033,0.0002579654,1.094829,70.33865,3.163005,0.06414389,0.0007158366,0.0911617,0.2813919,0.04007258,0.0452842,0.08175302,0.02930126,0.3487769,0.0896444,0.002864188,0.0516451,1.010576,1.337385,16.79752,0.009122575,0.001367612,0.2077287,0.1363556,0.007980393,1.951055,18.61892,0.001706591,0.01855093,0.006588048,0.005623117,0.06512026,2.338921,22.70301,0.06021749,0.5539468,0.1392769,0.01829479,0.2461341,0.1799033,0.04955844,0.06113029,0.1882595,0.4672496,0.6855016,2.108412,0.006990409,0.009165249,0.0203331,1.013878,0.007032416,0.1052119,0.1091397,0.09473986,0.007479669,0.3954564,0.3814658,0.1351303,0.04821431,0.001667023,0.4444671,19.83935,0.0002706802,20.99564,0.0004634871,8.310343,0.003259962,0.2048516,0.08513146,0.03044791,18.41891,0.1103078,4.007193,8.404661,0.3557102,1.940925,0.04316957,0.01199663,1.93871,0.1827333,0.07269518,0.01884992,5.228015,0.9294052,0.5272179,0.005005016,2.774118,63.28974,0,0.0209439,0.01278544,0.4670584,0.05477614
5,7A_Index05_treated6.count,treated6.count,0.247064743628407,3.75936792849646,0.0334500312860327,0.016532171062791,8.95361835865064,2.8727790561957,12.4620672816049,0.0348152666483958,0.0888806953437271,0.245553840478528,0.0298457832723493,0.0119338606184208,2.49417037552753,1.06561794184549,0.00418189248050631,0.795665863696633,0.659968365067221,0.0200980710332429,0.0139299261552396,29.9283206393433,0.365036,0.00857323,0.006744833,0.8486139,0.09677049,0.0002316704,0.2288723,34.89351,1.43125,0.04200406,0.0005625111,0.02292343,0.3228275,0.02018552,0.0160835,0.0384502,0.01615804,0.7156328,0.02766633,0.004501411,0.01570963,1.983019,0.8427038,11.72904,0.002695886,0.00429873,0.1619081,0.09788967,0.005574283,1.022105,30.71741,0.001490062,0.01413575,0.003792637,0.003787455,0.02444041,1.659566,5.708027,0.0532344,0.2540687,0.1484428,0.0244561,0.1502643,0.07068483,0.01298116,0.06029613,0.2580889,0.5460464,0.317763,0.8442287,0.002441391,0.004364933,0.03526167,0.9283042,0.002456062,0.05076629,0.1414013,0.05912795,0.00653066,0.1135593,0.1271706,0.1268341,0.05335662,0.001746616,0.09634935,12.22478,0.0004254061,16.80887,0,2.759353,0.001552551,0.02384805,0.06828569,0.02576673,15.89849,0.06420806,6.394996,10.37194,0.1656417,0.8469821,0.04014228,0.01256942,1.306422,0.1531665,0.2894311,0.0241388,5.216384,0.549312,0.4224162,0.00699198,1.603625,52.41771,0.03215532,0,0.06251415,0.2310859,0.02550732
6,7A_Index06_treated6.count,treated6.count,0.0414320391571527,1.50478847331834,0.0162316665229209,0.0044886427932624,6.4293113782291,1.99517079492669,3.50700561222932,0.0212079322298597,0.051766946687036,0.166012163911212,0.0378159414715773,0.00567027556151789,1.8630149453741,1.22280956737477,0.00529864469765039,0.289374728228841,0.277944607760438,0.00520878157267167,0.00661868965771916,24.0799209636374,0.3351685,0.0040735,0.004700302,0.573241,0.09195941,0.001174147,0.3646599,28.14552,0.6800467,0.1436968,0,0.01270719,0.1033027,0.01150918,0.006113554,0.03255914,0.01305151,0.3327924,0.02696069,0.008555233,0.02653973,4.570343,0.4190272,8.431757,0.00116448,0.009531696,0.1261136,0.0452544,0.003009744,0.6009596,37.37667,0.004814336,0.02014945,0.003027428,0.0007998125,0.00580633,1.679956,1.230033,0.08431296,0.3566184,0.1063948,0.006909257,0.07139684,0.07676644,0.004934314,0.08939505,0.6308203,0.2087524,0.1592555,0.04151064,0.02958017,0.004977508,0.05235716,0.3819628,0.005134701,0.05513414,0.164751,0.02860496,0.02358272,0.1516622,0.07275553,0.2817,0.03335277,0.1112053,0.1525987,5.548928,0.0008085129,22.35996,0,3.156443,0.001268813,0.03682641,0.01800796,0.01865577,10.13953,0.03660952,6.053963,44.63362,0.07083298,0.08367493,0.01074551,0,4.765648,0.09096974,0.2026622,0.02502404,2.201774,0.6169116,0.2470247,0.01951782,0.9841846,67.16576,0.06111334,0.1251175,0.05516287,0.1291748,0.008079729
7,7A_Index07_treated4.count,treated4.count,0.0605028658127552,1.56998443670788,0.0114811256304758,0.0147481382955137,7.20281593654943,2.04026797399056,3.87186400712344,0.0520292117567215,0.0268560637910492,0.123332208485709,0.0207083655455581,0.00649247403357866,2.05174465047297,1.07418534060799,0.00362698464672128,0.36463833999432,0.398074834433685,0.00808173716849769,0.0066913047956123,25.446537114319,0.3388457,0.002676824,0.01731553,0.2234629,0.0923227,0.0007233457,0.1597529,24.22611,0.6472666,0.07868969,0.001561184,0.01988165,0.2211354,0.01176473,0.01422832,0.02615021,0.009249228,0.760655,0.02659341,0.01093149,0.007266704,3.320443,0.4385297,8.057384,0.002805792,0.007456638,0.1194755,0.02065145,0.003428181,0.5395827,34.09416,0.002791456,0.01471204,0.00276308,0.001751939,0.02225721,1.52437,1.501747,0.08002899,0.1164448,0.1191441,0.008942993,0.0486078,0.0665602,0,0.1299353,0.4757153,0.3723396,0.1653588,0.1076272,0.01524553,0.0009085768,0.04358033,0.488055,0.004601144,0.01811518,0.08574021,0.04997673,0.01767195,0.06708018,0.09318886,0.2455905,0.02449315,0.03272081,0.1002774,5.312969,0.0005903324,20.61368,0,1.724648,0.001389627,0.03102537,0.02040275,0.02170916,10.73546,0.1069212,5.454204,27.87936,0.06321139,0.05673099,0.01235711,0,2.886037,0.1594108,0.1426882,0.0137034,2.892818,0.3378266,0.8116382,0.01227999,1.077898,59.86775,0.02509968,0.1674823,0.07435743,0.3395392,0.004424536
8,7A_Index08_treated2.count,treated2.count,0.0931748791344351,2.890374976578,0.0106466368181173,0.0113561232569972,7.03673617077555,1.38541438288019,4.14658503432612,0.0267084622178367,0.0536129286911033,0.0626581610042112,0.0212606949093453,0.00347772521536739,1.50711411104585,2.17702650662442,0.00484083970793,0.300890611626698,0.40067863373642,0.00732113968055157,0.000572481161023141,37.393061988825,0.2161093,0.001221431,0.007687509,0.7865933,0.2068039,0.001155216,0.004393228,15.86178,0.8921092,0.161577,0.0002003529,0.01020597,0.1619153,0.004313757,0.005155699,0.03335622,0.009064289,0.9111002,0.01092108,0.004809882,0.00932565,4.732513,0.1779964,6.674595,0.002356877,0.006889968,0.1042274,0.02544271,0.002030548,0.5948717,40.6966,0.003502778,0.03964915,0.00324203,0.001573834,0.02502712,1.166767,2.630131,0.1179784,0.09464419,0.2096947,0.001059406,0.07594127,0.02517623,0.002774146,0.1593325,0.6697691,0.2213146,0.3302361,0.01143081,0.06978255,0.003731241,0.04709758,0.4397165,0.002624369,0.009299174,0.05518114,0.02986684,0.02512149,0.07214882,0.1067671,0.2820826,0.0137655,0.06718706,0.1029519,5.923586,0.00242431,27.96401,0.0005188948,2.229119,0.00116126,0.03822345,0.01466285,0.02228818,7.379479,0.05488647,8.475801,62.9051,0.1120954,0.1657717,0.00906193,0.02686154,2.683823,0.1329759,0.2278795,0.004689632,1.391174,0.2934775,0.5555241,0.01914475,0.5354743,76.42297,0.04294856,0.2110288,0.02862775,0.1452481,0.009085092
9,7A_Index09_control8.count,control8.count,0.0375167481845619,0.601441275521935,0.0110233413188959,0.00914505756365734,5.16420298805565,0.744314042587228,9.21229861235418,0.0046089123441787,0.0703125241714981,0.0331133642650959,0.398067534100276,0.00455098050793624,0.541233540450372,4.22141024880335,0.0013494171011479,0.27893417440908,0.367838668119411,0.00943311266283996,0.00553221170977357,41.0488535900527,0.1082396,0.0007377115,0.004643049,0.7478131,0.4996159,0.0008970676,0.003537855,22.8547,0.450841,0.08674502,0.001210078,0,0.03401479,0.0145902,0.008303743,0.02063763,0.006517365,3.399945,0.003866644,0.03486047,0.01126488,7.35907,0.3288389,0.4314409,0.0009489938,0.03144135,0.07708228,0.03756308,0.001635195,0.2369046,84.14369,0.008462336,0.1277174,0.003230863,0.00162952,0.02103055,0.2486297,0.1643305,0.4987903,0.1564449,0.1753615,0.009811076,0.1074586,0,0,0.2260496,1.01312,0.1620219,0.1207959,0.02301301,0.1717383,0.002253569,0.08154426,0.444687,0,0,0.03332792,0.008788117,0.01180099,0.007922899,0.0167492,0.3312227,0.004844373,0.06537757,0.1036337,3.791539,0.001555732,66.63773,0.001253594,1.776007,0.000280548,0.01539062,0.01012111,0.006334807,3.941415,0.03314995,10.85002,344.7393,0.09977228,0.06494376,0.006567794,0.07300643,5.994277,0.7290027,0.471885,0,0.7020359,0.1611387,1.132385,0.04568762,0,206.0951,0.04150364,0.2265879,0.2535924,0.07018074,0
10,7A_Index10_treated8.count,treated8.count,0.118961489044314,2.98456426989925,0.0187714878311812,0.0150359861971553,11.3101433784217,2.70132891389568,7.49129534355828,0.0341001615997097,0.130382043056459,0.146665049338623,0.0180964651132586,0.0113471852318732,1.79296262695939,1.58481938874822,0.00824075480758872,0.637294622228567,0.24555284775633,0.0249261370587015,0.0107201330369396,27.7446864208788,0.3678916,0.005198227,0.01554052,0.9484932,0.1320189,0.0002809385,0.8924662,40.87143,1.3947,0.1528105,0.0003410687,0.06254648,0.278631,0.01909305,0.02340467,0.03116174,0.01690007,0.08308941,0.07564774,0.008188054,0.03175085,3.660826,0.6773172,14.38083,0.003566406,0.005212919,0.1991566,0.06737444,0.004608911,0.6851372,36.58164,0.001084167,0.01285644,0.007588676,0.006315256,0.04445704,1.486566,4.63177,0.07531473,0.2162354,0.1327202,0.01743354,0.09603498,0.1040849,0.01889016,0.0550668,0.3683099,0.1598344,0.3919383,0.0827013,0.01665331,0.00476388,0.02672536,0.8355873,0.005361083,0.160942,0.1431422,0.07756894,0.01187925,0.1451531,0.09205713,0.1663264,0.04815874,0.02223963,0.08762959,8.585211,0.001418656,16.66869,0.0008833353,3.969653,0.001355561,0.05422442,0.02436684,0.03124641,12.40091,0.04671771,5.437701,32.00089,0.02510849,0.05338914,0.01439805,0.03429561,3.173615,0.1567178,0.08312752,0.04790009,2.259188,0.4541805,0.2955284,0.004769397,1.276183,32.93132,0.01462261,0.1463582,0.07310125,0.2225354,0.04639775
