Liver_lipid,P value,Mean of Control CRISPR,Mean of Osbpl3 CRISPR,Difference,SE of difference,t ratio,df,Gene,Liver_lipid.y,bicor,adj_pval,abs_bicor,Max_abundance,Lipid_class,significant_corr,fold_change
TG 51:5-FA18:2,0.002357,0.004653,0.003235,0.001418,0.0003929,3.608,16,Osbpl3,TG.51.5.FA18.2,0.0909443703016138,0.638221921828746,0.0909443703016138,0.012180198,TG,no,0.69525037610144
TG 50:2-FA14:1,0.002591,0.0299,0.01619,0.01371,0.003848,3.564,16,Osbpl3,TG.50.2.FA14.1,0.839616848762138,1.18083760718082e-12,0.839616848762138,0.069358226,TG,yes,0.541471571906355
CE 22:6,0.002938,0.1238,0.08682,0.03699,0.01056,3.504,16,Osbpl3,CE.22.6,0.843513102810179,7.66487658881354e-13,0.843513102810179,0.172618005,CE,yes,0.701292407108239
TG 56:10-FA18:2,0.003916,0.02784,0.01715,0.01069,0.003174,3.368,16,Osbpl3,TG.56.10.FA18.2,0.771513946964401,7.77298164296431e-10,0.771513946964401,0.047319947,TG,yes,0.616020114942529
TG 54:4-FA18:3,0.004401,0.03052,0.0192,0.01132,0.003418,3.313,16,Osbpl3,TG.54.4.FA18.3,0.818052351230446,1.1655650684772e-11,0.818052351230446,0.075114948,TG,yes,0.629095674967235
TG 51:2-FA18:2,0.004827,0.06862,0.04269,0.02593,0.007932,3.269,16,Osbpl3,TG.51.2.FA18.2,0.838012556751304,1.40786825390244e-12,0.838012556751304,0.111155087,TG,yes,0.622121830370154
TG 52:2-FA18:2,0.004839,0.252,0.1291,0.1228,0.03759,3.268,16,Osbpl3,TG.52.2.FA18.2,0.854891280814752,2.07444561833583e-13,0.854891280814752,1.7886924,TG,yes,0.512301587301587
TG 53:4-FA17:0,0.004916,0.02378,0.01651,0.007265,0.002229,3.26,16,Osbpl3,TG.53.4.FA17.0,0.383919780204269,0.0121191676108271,0.383919780204269,0.042306634,TG,yes,0.694280908326325
TG 52:8-FA16:1,0.005411,0.01892,0.009888,0.009032,0.00281,3.214,16,Osbpl3,TG.52.8.FA16.1,0.852749871530801,2.65892951136922e-13,0.852749871530801,0.093091098,TG,yes,0.52262156448203
PC 17:0_20:4,0.005779,0.07455,0.0634,0.01115,0.003504,3.183,16,Osbpl3,PC.17.0_20.4,-0.0943728992876503,0.604695244411099,0.0943728992876503,0.083546867,PC,no,0.850435949027498
