"","Comparison","pval","Median","FoldChange","Feat","Significant"
"1","WD2-Chow8",0.628109230690202,9550.7005676,8.60003060843153,"CE","no"
"2","WD4-Chow8",0.024172584890862,16986.099553658,15.2953152541388,"CE","yes"
"3","WD6-Chow8",1.82028364227316e-05,35973.82127956,32.3930126294604,"CE","yes"
"4","WD8-Chow8",5.03741492963172e-12,43240.353123895,38.9362390489363,"CE","yes"
"5","WD2-Chow8",0.857997591805404,212.941157591,1.11763879011099,"Cer","no"
"6","WD4-Chow8",0.339238523923745,235.026319832,1.23355454019743,"Cer","no"
"7","WD6-Chow8",0.000523341140427069,297.276742599,1.56028089020083,"Cer","yes"
"8","WD8-Chow8",1.67130720374331e-09,399.7781009475,2.09826751253989,"Cer","yes"
"9","WD2-Chow8",0.852975548244204,3860.445852504,1.83154189554933,"DG","no"
"10","WD4-Chow8",0.125815404983158,5868.843508361,2.7844018993334,"DG","no"
"11","WD6-Chow8",5.13791244717288e-05,14165.7753666595,6.72078098185179,"DG","yes"
"12","WD8-Chow8",4.29779301036604e-09,18805.053884004,8.92183062593034,"DG","yes"
"13","WD2-Chow8",0.609682762647983,8676.739835222,1.16506388462066,"FA","no"
"14","WD4-Chow8",0.0119696763268679,10528.229262248,1.41367148438164,"FA","yes"
"15","WD6-Chow8",3.23649854250263e-07,15161.9363458325,2.03585964232093,"FA","yes"
"16","WD8-Chow8",8.30677859831042e-10,15684.7021178085,2.10605369361341,"FA","yes"
"17","WD2-Chow8",0.019359555275944,50.292684933,1.31925379721405,"HexCER","yes"
"18","WD4-Chow8",0.0212949331174249,52.635518028,1.38070988095535,"HexCER","yes"
"19","WD6-Chow8",1.28512169372819e-05,68.5854557095,1.79910106209191,"HexCER","yes"
"20","WD8-Chow8",1.06126218923919e-12,82.016295652,2.1514124691588,"HexCER","yes"
"21","WD2-Chow8",0.310563175420746,9.429069372,2.46769088726287,"LacCER","no"
"22","WD4-Chow8",0.00151805718289011,12.615403552,3.30158949480831,"LacCER","yes"
"23","WD6-Chow8",4.89367228295734e-07,22.274161373,5.82939236875249,"LacCER","yes"
"24","WD8-Chow8",4.28235225058415e-12,22.1104633625,5.78655080371178,"LacCER","yes"
"25","WD2-Chow8",0.162255563516346,556.427299176,1.13846939703469,"LPC","no"
"26","WD4-Chow8",0.00778269506950702,692.475106507,1.41682789132385,"LPC","yes"
"27","WD6-Chow8",2.19618268763044e-05,864.647781235,1.76909910712097,"LPC","yes"
"28","WD8-Chow8",3.36247918397703e-10,1018.628317236,2.08414858121352,"LPC","yes"
"29","WD2-Chow8",0.131066990394817,231.583740944,1.31286511831113,"LPE","no"
"30","WD4-Chow8",0.196362809953558,217.287220375,1.23181710046779,"LPE","no"
"31","WD6-Chow8",0.0220524651265827,243.0644071135,1.37794985218524,"LPE","yes"
"32","WD8-Chow8",0.00382615455659052,276.706241466,1.56866786484606,"LPE","yes"
"33","WD2-Chow8",0.996525422993687,24318.838103823,0.988663446101045,"PC","no"
"34","WD4-Chow8",0.652875902009329,25996.44409473,1.05686521269404,"PC","no"
"35","WD6-Chow8",0.00298440189773341,29969.379937607,1.21838182893977,"PC","yes"
"36","WD8-Chow8",8.90917923213053e-06,35797.5907015845,1.45532320393134,"PC","yes"
"37","WD2-Chow8",0.904576847937418,10533.124839395,1.27545524698155,"PE","no"
"38","WD4-Chow8",0.0481897039129483,12506.528064477,1.51441448616452,"PE","yes"
"39","WD6-Chow8",0.00109409772431268,13229.979883357,1.60201720923088,"PE","yes"
"40","WD8-Chow8",0.000165908640133994,14789.655578236,1.79087821476865,"PE","yes"
"41","WD2-Chow8",0.000580886522906554,236.455152764,1.66307273190619,"PE_O","yes"
"42","WD4-Chow8",7.50789698478194e-06,238.697572395,1.67884446239383,"PE_O","yes"
"43","WD6-Chow8",6.03469827997749e-07,260.2422861065,1.83037605505099,"PE_O","yes"
"44","WD8-Chow8",2.70410035585478e-07,270.472294756,1.90232732459735,"PE_O","yes"
"45","WD2-Chow8",0.318305804436896,563.934086955,1.26453838318061,"PE_P","no"
"46","WD4-Chow8",0.0749190626001413,525.328682253,1.17797150032468,"PE_P","no"
"47","WD6-Chow8",4.42375052149835e-05,689.824819616,1.54682964242358,"PE_P","yes"
"48","WD8-Chow8",3.37159355989769e-09,753.9825867355,1.69069390063829,"PE_P","yes"
"49","WD2-Chow8",0.0690670088534912,1206.079358085,0.827863417982455,"SM","no"
"50","WD4-Chow8",0.0824666096326309,1252.088996507,0.859444836127818,"SM","no"
"51","WD6-Chow8",0.843368492557846,1331.4390718675,0.913911421734103,"SM","no"
"52","WD8-Chow8",0.955531604192302,1561.556282068,1.07186588708177,"SM","no"
"53","WD2-Chow8",0.813679408792599,193591.327255562,3.67138589581468,"TG","no"
"54","WD4-Chow8",0.0819105837380755,350330.50098475,6.64388471540967,"TG","no"
"55","WD6-Chow8",1.7280858717994e-05,1152170.08840998,21.8504675397147,"TG","yes"
"56","WD8-Chow8",7.60347340644785e-12,1401798.06767645,26.5845672293655,"TG","yes"
