"","Comparison","pval","Median","FoldChange","Feat","Significant"
"1","WD2-Chow8",3.27244131236304e-05,4013.341549102,1.91429596612819,"CE","yes"
"2","WD4-Chow8",4.47962672345259e-06,4102.942705993,1.95703420086309,"CE","yes"
"3","WD6-Chow8",1.90146787204526e-11,5401.7139788035,2.57652610755631,"CE","yes"
"4","WD8-Chow8",8.63207283430256e-11,5130.563353608,2.44719185038574,"CE","yes"
"5","WD2-Chow8",0.277868146672075,3.010037581,1.35432103704801,"Cer","no"
"6","WD4-Chow8",0.0430847010833073,3.23912647,1.45739612942728,"Cer","yes"
"7","WD6-Chow8",0.000925976737063627,3.7437101275,1.6844259401567,"Cer","yes"
"8","WD8-Chow8",4.39904253600742e-05,4.070109641,1.83128448119473,"Cer","yes"
"9","WD2-Chow8",0.480363629533267,93.503897039,1.70145380145189,"DG","no"
"10","WD4-Chow8",0.486762091603592,25.089609535,0.456545800465022,"DG","no"
"11","WD6-Chow8",0.999978684057992,84.306078566,1.53408470025365,"DG","no"
"12","WD8-Chow8",0.999904866775683,67.9299058015,1.23609389681398,"DG","no"
"13","WD2-Chow8",0.85729881034269,891.081035932,1.04705428632764,"FA","no"
"14","WD4-Chow8",0.000617801971644183,1009.6273896585,1.18635078439307,"FA","yes"
"15","WD6-Chow8",0.0391644461886982,945.7656912775,1.11131084714196,"FA","yes"
"16","WD8-Chow8",0.412992058070255,934.099467236,1.09760258785313,"FA","no"
"17","WD2-Chow8",4.32240132575146e-10,6.383523532,2.5256514946339,"HexCER","yes"
"18","WD4-Chow8",1.42557077253969e-11,6.7412148265,2.66717263856683,"HexCER","yes"
"19","WD6-Chow8",3.33066907387547e-16,7.9660540535,3.15178227599533,"HexCER","yes"
"20","WD8-Chow8",1e-16,7.9166832705,3.13224864519564,"HexCER","yes"
"21","WD2-Chow8",0.0686189346943746,0.151521608,1.54966464465463,"LacCER","no"
"22","WD4-Chow8",0.0149138665141655,0.1575231875,1.61104490378727,"LacCER","yes"
"23","WD6-Chow8",0.466388713899097,0.118901835,1.21605078190603,"LacCER","no"
"24","WD8-Chow8",0.00248508465297037,0.155815115,1.5935758470719,"LacCER","yes"
"25","WD2-Chow8",0.0594292834367938,728.258251422,1.17180097210388,"LPC","no"
"26","WD4-Chow8",0.00172446805752313,856.3404796335,1.37789115952628,"LPC","yes"
"27","WD6-Chow8",1.30037008605477e-06,966.784275018,1.5556002984776,"LPC","yes"
"28","WD8-Chow8",4.64462668244847e-05,926.1485032405,1.49021547547273,"LPC","yes"
"29","WD2-Chow8",0.0143657992326238,9.698271761,1.33026477962559,"LPE","yes"
"30","WD4-Chow8",0.0121689663050558,9.773762687,1.3406195028705,"LPE","yes"
"31","WD6-Chow8",0.000406048677700777,10.7251662755,1.47111890690664,"LPE","yes"
"32","WD8-Chow8",0.963983121902132,6.7811454805,0.930136752251235,"LPE","no"
"33","WD2-Chow8",0.000146004353842377,2781.906451902,1.48374829318769,"PC","yes"
"34","WD4-Chow8",5.43353372295385e-08,3293.2583296895,1.75648121537736,"PC","yes"
"35","WD6-Chow8",1.42134082281586e-10,3479.765563695,1.85595608806174,"PC","yes"
"36","WD8-Chow8",2.79220868648622e-10,3509.426004335,1.87177568118455,"PC","yes"
"37","WD2-Chow8",0.000504653289273627,213.915158396,1.33513000410712,"SM","yes"
"38","WD4-Chow8",1.46472392859032e-06,242.1743265565,1.51150676761046,"SM","yes"
"39","WD6-Chow8",2.40680519958403e-09,259.764213219,1.62129228083937,"SM","yes"
"40","WD8-Chow8",5.57139411272445e-08,259.115583258,1.61724392199941,"SM","yes"
"41","WD2-Chow8",0.00938205642830114,838.825053362,1.46592627257187,"TG","yes"
"42","WD4-Chow8",0.279097558609121,798.375065272,1.3952360851142,"TG","no"
"43","WD6-Chow8",0.887178922235389,553.169386113,0.966715923702326,"TG","no"
"44","WD8-Chow8",0.936199796061119,391.0839674135,0.683456294390958,"TG","no"
