Gene,Liver_lipid,bicor,adj_pval,Num_significant_corrs,Lipid_class,Max_abundance
Cd36,CE.18.1,0.907538768402937,1.95910473237847e-16,36,CE,17.24744094
Lgals1,CE.18.1,0.886475971201116,3.9441645657425e-15,36,CE,17.24744094
Anxa2,CE.18.1,0.836595984501757,1.64116394510977e-12,36,CE,17.24744094
Wfdc2,CE.18.1,0.915343378994783,4.95966035498535e-17,36,CE,17.24744094
Unc5b,CE.18.1,0.892749474206218,1.63821833834187e-15,36,CE,17.24744094
Mogat1,CE.18.1,0.819932880349037,9.60487694150871e-12,36,CE,17.24744094
H2-Q1,CE.18.1,0.839057700169281,1.25492671894808e-12,36,CE,17.24744094
Gm19619,CE.18.1,0.89509017075959,1.18667990207615e-15,36,CE,17.24744094
Anxa5,CE.18.1,0.809247533644528,2.76809558350297e-11,36,CE,17.24744094
Ifi27l2b,CE.18.1,0.851401292515012,3.11452833628288e-13,36,CE,17.24744094
Fabp2,CE.18.1,0.77281175613372,6.99964924123705e-10,36,CE,17.24744094
Cidec,CE.18.1,0.89647108218312,9.72573115103093e-16,36,CE,17.24744094
Gpc1,CE.18.1,0.834838798822916,1.98167187232583e-12,36,CE,17.24744094
Themis,CE.18.1,0.833889651896852,2.19086335691329e-12,36,CE,17.24744094
Ctse,CE.18.1,0.804551106361753,4.33590310280646e-11,36,CE,17.24744094
Plscr4,CE.18.1,0.85740262616069,1.53311005194943e-13,36,CE,17.24744094
Tceal8,CE.18.1,0.88102721941746,8.09465842555913e-15,36,CE,17.24744094
Rmdn3,CE.18.1,0.834962934094489,1.956869376243e-12,36,CE,17.24744094
Ntrk2,CE.18.1,0.804135631650212,4.50670983110515e-11,36,CE,17.24744094
Lrrc39,CE.18.1,0.814639342699541,1.6371910310155e-11,36,CE,17.24744094
Hexb,CE.18.1,0.843053516230354,8.07932141693925e-13,36,CE,17.24744094
Sema3b,CE.18.1,0.786720727512309,2.17301290071213e-10,36,CE,17.24744094
Apoa4,CE.18.1,0.884772466860908,4.99328705437176e-15,36,CE,17.24744094
Atp9a,CE.18.1,0.834075758823749,2.14840675882076e-12,36,CE,17.24744094
Pdlim2,CE.18.1,0.850740122316488,3.35168979586541e-13,36,CE,17.24744094
Prkca,CE.18.1,0.859634191140342,1.18003999089185e-13,36,CE,17.24744094
Smarca4,CE.18.1,0.844980371474293,6.49133461633175e-13,36,CE,17.24744094
Morc4,CE.18.1,0.891676891666989,1.90820963341636e-15,36,CE,17.24744094
Siae,CE.18.1,0.853688951672959,2.38920923994192e-13,36,CE,17.24744094
Abcd1,CE.18.1,0.73587377102514,1.1234480446597e-08,36,CE,17.24744094
Osbpl3,CE.18.1,0.856811198830173,1.63978737995695e-13,36,CE,17.24744094
Sulf2,CE.18.1,0.857499568764423,1.51571892407934e-13,36,CE,17.24744094
Nes,CE.18.1,0.847143237943231,5.0610603133677e-13,36,CE,17.24744094
Ermp1,CE.18.1,0.873557479649734,2.13535632875289e-14,36,CE,17.24744094
Cdc42,CE.18.1,0.798580284963347,7.57108837118341e-11,36,CE,17.24744094
Col14a1,CE.18.1,0.821347391508184,8.30650315503339e-12,36,CE,17.24744094
Mup-ps13,Cer.d18.1.22.0,0.88432263776962,5.27690478077697e-15,1,Cer,0.072280986
Serpina1e,Cer.d18.1.24.0,0.82725352161429,4.47892546257804e-12,9,Cer,0.053689098
C8b,Cer.d18.1.24.0,0.753094607919171,3.26162285198821e-09,9,Cer,0.053689098
Cspg5,Cer.d18.1.24.0,0.810201710777156,2.52489945976844e-11,9,Cer,0.053689098
Wdr26,Cer.d18.1.24.0,0.766357302568212,1.17317853689607e-09,9,Cer,0.053689098
C8a,Cer.d18.1.24.0,0.757199899657089,2.38894301204444e-09,9,Cer,0.053689098
Slco2a1,Cer.d18.1.24.0,0.713630661602277,4.90686674377384e-08,9,Cer,0.053689098
Gm8893,Cer.d18.1.24.0,0.764010001639761,1.4107961885435e-09,9,Cer,0.053689098
Apom,Cer.d18.1.24.0,0.715408151477818,4.3856218085566e-08,9,Cer,0.053689098
Tcp11l2,Cer.d18.1.24.0,0.720350350852151,3.18510623605032e-08,9,Cer,0.053689098
Cd36,Cer.d18.1.16.0,0.703651584720988,9.11651325354376e-08,15,Cer,0.035647937
Anxa2,Cer.d18.1.16.0,0.727996073645809,1.92124880575384e-08,15,Cer,0.035647937
Wfdc2,Cer.d18.1.16.0,0.715243726695532,4.43219108623228e-08,15,Cer,0.035647937
Unc5b,Cer.d18.1.16.0,0.815630527559861,1.48357177857054e-11,15,Cer,0.035647937
H2-Q1,Cer.d18.1.16.0,0.768547924686584,9.86147179170658e-10,15,Cer,0.035647937
Gm19619,Cer.d18.1.16.0,0.716778501920667,4.01571013743249e-08,15,Cer,0.035647937
Ifi27l2b,Cer.d18.1.16.0,0.707184947350002,7.34457716824877e-08,15,Cer,0.035647937
