ID,Diet,Time,ID.Diet.Time,CA,aMCA,bMCA,DCA,HDCA,a3b7a12a,TCA,GCA,TDCA,TCDCA,GCDCA,TaMCA,TbMCA,ToMCA,TLCA,TUDCA,T3a6a,T3a12b,T3a7k
1,Chow,8,1.Chow.8,3321.3,229.62,353.58,0.634,3.007,2.232,45948,179.8,1144,3880.5,5.581,8111.3,12159,13726,18.972,391.36,760.83,201.37,381.03
2,Chow,8,2.Chow.8,4281.5,368.57,494.7,1.296,5.435,2.237,57339,191.42,1454.4,3677.6,4.691,9069.8,11146,15787,19.892,475.33,1202.8,203.33,519.74
3,Chow,8,3.Chow.8,1808.8,119.29,268.74,2.463,3.526,3.309,58711,143.83,5959.5,2451.8,3.751,5780.7,17925,11570,30.053,729.31,947.61,315.51,597.22
4,Chow,8,4.Chow.8,2349.1,243.68,607.23,1.028,4.271,1.871,55913,160.84,1197.3,4265.1,4.741,10265,21506,26049,16.279,484.8,1129.4,226.89,607.78
5,WD,8,5.WD.8,329.48,60.456,247.79,0.76,0.733,1.644,54847,150.87,1741.2,4437.2,4.304,12245,45151,17251,11.979,479.67,468.54,196.29,107.58
6,WD,8,6.WD.8,782.88,96.547,287.28,1.18,1.03,2.1,49886,123.99,2060.9,2944.3,3.54,7122.4,22108,8332.5,14.287,388.16,421.07,232.06,66.333
7,WD,8,7.WD.8,300.64,41.693,119.06,0.765,0.293,1.323,34743,102.84,1414.2,2830.5,2.827,5579.7,15757,6390.5,12.637,374.85,361.13,137.5,65.422
8,WD,8,8.WD.8,133.45,21.18,104.86,0.547,0.851,0.997,26221,95.746,1426.8,2643.1,2.62,4228.6,15657,4453.6,11.279,281.7,253.07,93.789,82.966
9,Chow,8,9.Chow.8,3133.6,213.1,722.07,0.892,2.317,2.308,80398,324,1353.2,4187.5,4.828,14627,37126,28885,20.35,648.65,1071.4,295.57,713.35
10,Chow,8,10.Chow.8,1125.2,122.52,340.7,0.812,2.274,1.3,46374,78.481,592.58,1395.4,1.816,9012.8,26197,22492,7.472,486.3,718.16,126.09,395.13
11,Chow,8,11.Chow.8,3142,194.08,293.37,0.983,2.98,1.871,83348,282.54,1524.7,3939.5,3.889,13153,12008,19997,19.851,565.45,1598,359.44,693.17
12,Chow,8,12.Chow.8,2606.3,136.93,430.05,0.91,1.988,2.369,56854,212.64,1100.2,2910.4,2.853,6207.3,15298,13936,11.947,284.85,758.36,185.88,374.43
13,WD,8,13.WD.8,99.342,18.102,244.16,0.556,0.164,0.296,26518,77.777,1112,2561.4,2.266,7777.7,44838,12513,8.89,657.9,486.71,118.74,83.05
14,WD,8,14.WD.8,119.44,26.788,346.86,0.539,0.754,0.39,41800,108.47,2046.7,3760.6,2.419,8168.1,40778,7246.6,14.999,548.61,483.95,133.6,109.79
15,WD,8,15.WD.8,114.39,21.98,116.28,0.485,0.843,0.744,40367,86.024,1942.3,3344.2,1.951,6518.9,22608,6538.4,13.202,381.42,386.22,197.08,76.143
16,WD,8,16.WD.8,162.67,25.037,87.694,0.624,0.71,0.973,21266,31.735,1474.8,1392.3,1.342,4192.5,15657,6011.5,13.918,476.84,478.31,120.54,50.789
17,Chow,8,17.Chow.8,725.39,58.902,361.78,0.469,0.702,0.667,48951,205.1,1069.9,2668.2,2.79,8800.3,32026,20614,8.708,367.29,622.42,131.25,529.68
18,Chow,8,18.Chow.8,3167.1,189.98,526.82,0.733,2.752,1.965,68142,172.05,2027,3301.1,2.578,10164,18820,16834,16.62,503.02,908.26,158.75,662.01
19,Chow,8,19.Chow.8,1092.7,32.241,71.978,0.37,0.231,1.127,81776,181.93,543.26,1387,1.912,9250.1,13905,15110,7.717,506.24,1210.5,188.44,347.48
20,Chow,8,20.Chow.8,5902.1,370.45,706.73,1.338,4.226,1.886,64893,211.8,2899.1,4140.4,4.838,8577.5,11916,15161,26.255,425.81,1076.4,178.05,794.12
21,WD,8,21.WD.8,483.3,50.899,128.38,0.716,1.192,3.367,61313,66.063,3664.7,4299.8,2.386,10358,21299,14350,27.607,715.34,754.98,160.94,99.055
22,WD,8,22.WD.8,389.63,25.005,158.04,0.958,1.01,2.28,94267,73.256,2263,3507.4,1.476,12032,31661,16668,10.173,626.09,752.32,173.27,94.106
23,WD,8,23.WD.8,303.25,9.499,397.08,0.562,0.192,0.974,41791,46.393,575.38,1615.1,0.443,3252.7,45306,6674.4,5.152,171.37,92.955,86.684,52.356
24,WD,8,24.WD.8,486.07,36.291,197.82,1.144,1.057,2.58,91578,81.237,1981.4,3116.2,1.734,12522,38248,17305,9.698,590.69,638.61,168.95,109.9
25,WD,6,25.WD.6,546.29,90.42,235.6,0.687,1.526,2.902,63885,146.92,3051.4,7975.5,5.374,11520,25690,18825,25.011,569.96,814.35,171.64,153.34
26,WD,6,26.WD.6,367.81,57.583,255.04,0.765,1.246,1.366,36999,155.56,2907,4408.7,6.441,9527.9,28245,15364,22.564,701.36,797.67,121.7,119.67
27,WD,6,27.WD.6,486.78,46.715,255.99,0.631,1.208,1.913,54681,84.428,2507.7,3951.1,2.818,10855,34023,27989,14.62,898.18,973.96,125.65,148.88
28,WD,6,28.WD.6,472.74,58.557,227.68,0.79,0.766,2.363,58557,135.63,3420.3,4751.3,4.096,15721,47558,19591,22.712,1099.4,975.56,206.8,109.29
29,WD,6,29.WD.6,209.39,32.547,86.61,0.784,0.257,0.776,24130,50.159,1660.3,3301.3,1.876,8689.8,17899,13109,13.077,523.53,490.61,101.55,57.088
30,WD,6,30.WD.6,315.76,29.328,247.16,0.617,1.098,1.453,60390,79.717,2558.1,4152.2,1.44,11834,30444,20680,12.996,753.79,927.64,189.85,115.11
31,WD,6,31.WD.6,459.01,45.518,249.95,0.593,1.066,1.798,71295,93.947,2695.2,5902.2,2.795,15242,35625,19079,16.34,939,987.33,198.32,173.34
32,WD,6,32.WD.6,334.59,44.464,163.15,0.403,0.58,1.43,67619,125.58,2034.6,6285.1,3.73,16945,33698,20979,14.767,828.63,837.59,222.06,155.42
33,WD,6,33.WD.6,89.875,39.645,331.87,0.474,0.485,0.197,81645,139.81,3110.5,6441.1,3.067,26026,69559,20259,17.564,1067.8,941.62,230.47,226.16
34,WD,6,34.WD.6,611.02,43.546,252.06,0.819,0.622,2.216,70329,147.28,2962.3,2951,2.137,10841,35821,17262,8.999,771.08,769.19,197.71,88.085
35,WD,6,35.WD.6,282.38,27.914,172.09,0.688,0.392,1.164,52363,123.97,1805.5,2459.8,1.923,10617,32590,20238,7.111,678.74,681.68,143.25,112.83
37,WD,4,37.WD.4,477.73,65.4,359.05,0.737,1.384,1.946,71584,133.58,4464.7,6184.3,3.753,18273,55121,17961,28.266,1398.2,1360.5,238.66,171.3
38,WD,4,38.WD.4,856.01,103.88,475.79,0.891,1.412,2.373,76036,161.05,5175.5,7082.5,5.459,20620,55486,32099,28.681,2059.6,2144.5,259.17,212.12
39,WD,4,39.WD.4,492.04,28.968,452.91,0.573,0.772,1.483,53240,97.571,1623.9,2163.2,1.265,5777,50878,20818,11.545,472.23,531.85,202.13,75.9
40,WD,4,40.WD.4,65.808,20.897,119.37,1.023,0.556,0.448,31693,58.614,2281.9,2170.8,1.908,7243.8,24369,5078.9,16.22,574.41,412.35,88.295,88.737
41,WD,4,41.WD.4,621.98,108.82,645.15,1.346,1.642,2.566,68513,90.839,4226.7,5768.5,3.917,18587,68095,27413,26.877,1444.6,1166,223.14,294.93
42,WD,4,42.WD.4,83.819,18.922,166.28,0.563,0.259,0.333,25191,42.001,1545.9,2724.1,1.427,10642,33999,16774,10.978,623.73,415.36,93.986,74.258
43,WD,4,43.WD.4,230.74,32.653,252.44,0.631,0.673,0.59,28729,51.862,1656.9,1324.3,1.789,6195.3,35379,6040.4,6.603,412.86,349.99,75.157,85.169
44,WD,4,44.WD.4,549.83,48.324,522.83,1.01,2.089,1.664,54566,70.733,3703.5,3639.1,1.794,12882,53894,12639,16.666,1119.9,691.55,172.33,145.57
45,WD,4,45.WD.4,114.37,17.679,201.2,0.718,0.328,0.541,33111,52.585,1258.7,1646.3,1.227,5051.1,27344,9226.1,8.319,305.95,285.06,99.527,90.961
47,WD,4,47.WD.4,428.67,42.93,718.82,0.803,0.546,0.566,46627,106.34,1902.5,2776,1.736,11120,67306,24336,9.042,579.38,447,134.34,136.63
48,WD,4,48.WD.4,207.24,26.827,355.46,0.553,0.081,0.65,54251,125.86,1865.9,3207.9,2.414,10316,51278,23289,6.935,459.05,463.83,146.75,95.815
49,WD,2,49.WD.2,523.35,47.544,291.88,0.491,0.404,1.752,45501,167.57,1028.1,1857.3,3.043,9669.2,67176,11870,9.298,548.51,299.49,254.66,88.674
50,WD,2,50.WD.2,374.64,34.836,365.96,0.39,0.271,1.704,78324,177.57,1913.4,4967.6,3.383,13986,74723,28326,9.454,651.89,525.09,255.69,168.32
51,WD,2,51.WD.2,390.05,41.197,518.53,0.72,0.269,1.448,54028,116.76,1743.4,3205,3.197,7224.9,47592,11746,8.594,736.38,538.01,177.42,127.84
54,WD,2,54.WD.2,270.54,23.864,428.36,0.688,0.681,0.767,28281,66.365,1706.6,2041.5,2.003,5827.5,44765,7351.1,6.897,403.43,191.89,98.626,86.39
55,WD,2,55.WD.2,953.22,71.297,1085,0.46,0.451,2.136,37142,74.784,1661.5,3168.1,1.806,6962.1,60414,11051,7.783,472.32,282.24,140.09,108.89
57,WD,2,57.WD.2,176.19,40.13,663.27,0.377,0.069,0.435,24301,173.18,1028.2,2671.4,8.648,8484,90208,9201.5,9.208,495.03,215.95,73.159,83.456
58,WD,2,58.WD.2,268.89,75.573,907.22,0.353,-0.245,0.494,31443,139.38,1193.3,2846.1,11.427,10577,99962,9208.1,12.221,720.75,370.7,103.69,125.34
59,WD,2,59.WD.2,327.9,65.592,731.91,0.401,0.358,0.493,44458,335.17,3418.1,2960.5,31.847,10510,74703,10557,10.713,778.72,413.1,122.19,202.39
60,WD,2,60.WD.2,569.92,82.043,860.07,0.773,0.933,0.778,27283,156.52,1815.5,3153.1,7.951,5821.6,40309,5872.9,14.791,342.62,226.2,94.075,114.85
