ID,Diet,Time,ID.Diet.Time,BileVol,CA,aMCA,bMCA,DCA,HDCA,a3b7a12a,TCA,GCA,TDCA,TCDCA,GCDCA,TaMCA,TbMCA,ToMCA,TLCA,TUDCA,T3a6a,T3a12b,T3a7k
1,Chow,8,1.Chow.8,18.5,61444.05,4247.97,6541.23,11.729,55.6295,41.292,850038,3326.3,21164,71789.25,103.2485,150059.05,224941.5,253931,350.982,7240.16,14075.355,3725.345,7049.055
2,Chow,8,2.Chow.8,18.5,79207.75,6818.545,9151.95,23.976,100.5475,41.3845,1060771.5,3541.27,26906.4,68035.6,86.7835,167791.3,206201,292059.5,368.002,8793.605,22251.8,3761.605,9615.19
3,Chow,8,3.Chow.8,12,21705.6,1431.48,3224.88,29.556,42.312,39.708,704532,1725.96,71514,29421.6,45.012,69368.4,215100,138840,360.636,8751.72,11371.32,3786.12,7166.64
4,Chow,8,4.Chow.8,18.6,43693.26,4532.448,11294.478,19.1208,79.4406,34.8006,1039981.8,2991.624,22269.78,79330.86,88.1826,190929,400011.6,484511.4,302.7894,9017.28,21006.84,4220.154,11304.708
5,WD,8,5.WD.8,3.6,1186.128,217.6416,892.044,2.736,2.6388,5.9184,197449.2,543.132,6268.32,15973.92,15.4944,44082,162543.6,62103.6,43.1244,1726.812,1686.744,706.644,387.288
6,WD,8,6.WD.8,3.2,2505.216,308.9504,919.296,3.776,3.296,6.72,159635.2,396.768,6594.88,9421.76,11.328,22791.68,70745.6,26664,45.7184,1242.112,1347.424,742.592,212.2656
7,WD,8,7.WD.8,8,2405.12,333.544,952.48,6.12,2.344,10.584,277944,822.72,11313.6,22644,22.616,44637.6,126056,51124,101.096,2998.8,2889.04,1100,523.376
8,WD,8,8.WD.8,7.3,974.185,154.614,765.478,3.9931,6.2123,7.2781,191413.3,698.9458,10415.64,19294.63,19.126,30868.78,114296.1,32511.28,82.3367,2056.41,1847.411,684.6597,605.6518
9,Chow,8,9.Chow.8,18.5,57971.6,3942.35,13358.295,16.502,42.8645,42.698,1487363,5994,25034.2,77468.75,89.318,270599.5,686831,534372.5,376.475,12000.025,19820.9,5468.045,13196.975
10,Chow,8,10.Chow.8,17.1,19240.92,2095.092,5825.97,13.8852,38.8854,22.23,792995.4,1342.0251,10133.118,23861.34,31.0536,154118.88,447968.7,384613.2,127.7712,8315.73,12280.536,2156.139,6756.723
11,Chow,8,11.Chow.8,13,40846,2523.04,3813.81,12.779,38.74,24.323,1083524,3673.02,19821.1,51213.5,50.557,170989,156104,259961,258.063,7350.85,20774,4672.72,9011.21
12,Chow,8,12.Chow.8,10.2,26584.26,1396.686,4386.51,9.282,20.2776,24.1638,579910.8,2168.928,11222.04,29686.08,29.1006,63314.46,156039.6,142147.2,121.8594,2905.47,7735.272,1895.976,3819.186
13,WD,8,13.WD.8,6.4,635.7888,115.8528,1562.624,3.5584,1.0496,1.8944,169715.2,497.7728,7116.8,16392.96,14.5024,49777.28,286963.2,80083.2,56.896,4210.56,3114.944,759.936,531.52
14,WD,8,14.WD.8,12,1433.28,321.456,4162.32,6.468,9.048,4.68,501600,1301.64,24560.4,45127.2,29.028,98017.2,489336,86959.2,179.988,6583.32,5807.4,1603.2,1317.48
15,WD,8,15.WD.8,8.7,995.193,191.226,1011.636,4.2195,7.3341,6.4728,351192.9,748.4088,16898.01,29094.54,16.9737,56714.43,196689.6,56884.08,114.8574,3318.354,3360.114,1714.596,662.4441
16,WD,8,16.WD.8,7.1,1154.957,177.7627,622.6274,4.4304,5.041,6.9083,150988.6,225.3185,10471.08,9885.33,9.5282,29766.75,111164.7,42681.65,98.8178,3385.564,3396.001,855.834,360.6019
17,Chow,8,17.Chow.8,21.7,15740.963,1278.1734,7850.626,10.1773,15.2334,14.4739,1062236.7,4450.67,23216.83,57899.94,60.543,190966.51,694964.2,447323.8,188.9636,7970.193,13506.514,2848.125,11494.056
18,Chow,8,18.Chow.8,16.5,52257.15,3134.67,8692.53,12.0945,45.408,32.4225,1124343,2838.825,33445.5,54468.15,42.537,167706,310530,277761,274.23,8299.83,14986.29,2619.375,10923.165
19,Chow,8,19.Chow.8,21,22946.7,677.061,1511.538,7.77,4.851,23.667,1717296,3820.53,11408.46,29127,40.152,194252.1,292005,317310,162.057,10631.04,25420.5,3957.24,7297.08
20,Chow,8,20.Chow.8,24.3,143421.03,9001.935,17173.539,32.5134,102.6918,45.8298,1576899.9,5146.74,70448.13,100611.72,117.5634,208433.25,289558.8,368412.3,637.9965,10347.183,26156.52,4326.615,19297.116
21,WD,8,21.WD.8,15,7249.5,763.485,1925.7,10.74,17.88,50.505,919695,990.945,54970.5,64497,35.79,155370,319485,215250,414.105,10730.1,11324.7,2414.1,1485.825
22,WD,8,22.WD.8,8.3,3233.929,207.5415,1311.732,7.9514,8.383,18.924,782416.1,608.0248,18782.9,29111.42,12.2508,99865.6,262786.3,138344.4,84.4359,5196.547,6244.256,1438.141,781.0798
