Dataset,ID,Diet,Duration,3b7a12a,a-MCA,b-MCA,CA,DCA,HDCA,Tauro 3a12b,Tauro 3a6a,T-3a7k,T-a-MCA,T-b-MCA,T-o-MCA,TCDCA,TCA,TDCA,TLCA
Bile,1,Chow,8,0.041292,4.24797,6.54123,61.44405,0.011729,0.0556295,3.725345,14.075355,7.049055,150.05905,224.9415,253.931,71.78925,850.038,21.164,0.350982
Bile,2,Chow,8,0.0413845,6.818545,9.15195,79.20775,0.023976,0.1005475,3.761605,22.2518,9.61519,167.7913,206.201,292.0595,68.0356,1060.7715,26.9064,0.368002
Bile,3,Chow,8,0.039708,1.43148,3.22488,21.7056,0.029556,0.042312,3.78612,11.37132,7.16664,69.3684,215.1,138.84,29.4216,704.532,71.514,0.360636
Bile,4,Chow,8,0.0348006,4.532448,11.294478,43.69326,0.0191208,0.0794406,4.220154,21.00684,11.304708,190.929,400.0116,484.5114,79.33086,1039.9818,22.26978,0.3027894
Bile,9,Chow,8,0.042698,3.94235,13.358295,57.9716,0.016502,0.0428645,5.468045,19.8209,13.196975,270.5995,686.831,534.3725,77.46875,1487.363,25.0342,0.376475
Bile,10,Chow,8,0.02223,2.095092,5.82597,19.24092,0.0138852,0.0388854,2.156139,12.280536,6.756723,154.11888,447.9687,384.6132,23.86134,792.9954,10.133118,0.1277712
Bile,11,Chow,8,0.024323,2.52304,3.81381,40.846,0.012779,0.03874,4.67272,20.774,9.01121,170.989,156.104,259.961,51.2135,1083.524,19.8211,0.258063
Bile,12,Chow,8,0.0241638,1.396686,4.38651,26.58426,0.009282,0.0202776,1.895976,7.735272,3.819186,63.31446,156.0396,142.1472,29.68608,579.9108,11.22204,0.1218594
Bile,17,Chow,8,0.0144739,1.2781734,7.850626,15.740963,0.0101773,0.0152334,2.848125,13.506514,11.494056,190.96651,694.9642,447.3238,57.89994,1062.2367,23.21683,0.1889636
Bile,18,Chow,8,0.0324225,3.13467,8.69253,52.25715,0.0120945,0.045408,2.619375,14.98629,10.923165,167.706,310.53,277.761,54.46815,1124.343,33.4455,0.27423
Bile,19,Chow,8,0.023667,0.677061,1.511538,22.9467,0.00777,0.004851,3.95724,25.4205,7.29708,194.2521,292.005,317.31,29.127,1717.296,11.40846,0.162057
Bile,20,Chow,8,0.0458298,9.001935,17.173539,143.42103,0.0325134,0.1026918,4.326615,26.15652,19.297116,208.43325,289.5588,368.4123,100.61172,1576.8999,70.44813,0.6379965
Bile,49,WD,2,0.016644,0.451668,2.77286,4.971825,0.0046645,0.003838,2.41927,2.845155,0.842403,91.8574,638.172,112.765,17.64435,432.2595,9.76695,0.088331
Bile,50,WD,2,0.01278,0.26127,2.7447,2.8098,0.002925,0.0020325,1.917675,3.938175,1.2624,104.895,560.4225,212.445,37.257,587.43,14.3505,0.070905
Bile,51,WD,2,0.0165072,0.4696458,5.911242,4.44657,0.008208,0.0030666,2.022588,6.133314,1.457376,82.36386,542.5488,133.9044,36.537,615.9192,19.87476,0.0979716
Bile,54,WD,2,0.0062127,0.1932984,3.469716,2.191374,0.0055728,0.0055161,0.7988706,1.554309,0.699759,47.20275,362.5965,59.54391,16.53615,229.0761,13.82346,0.0558657
Bile,55,WD,2,0.0083304,0.2780583,4.2315,3.717558,0.001794,0.0017589,0.546351,1.100736,0.424671,27.15219,235.6146,43.0989,12.35559,144.8538,6.47985,0.0303537
Bile,57,WD,2,0.0017835,0.164533,2.719407,0.722379,0.0015457,0.0002829,0.2999519,0.885395,0.3421696,34.7844,369.8528,37.72615,10.95274,99.6341,4.21562,0.0377528
Bile,58,WD,2,0.0022724,0.3476358,4.173212,1.236894,0.0016238,,0.476974,1.70522,0.576564,48.6542,459.8252,42.35726,13.09206,144.6378,5.48918,0.0562166
Bile,59,WD,2,0.0026622,0.3541968,3.952314,1.77066,0.0021654,0.0019332,0.659826,2.23074,1.092906,56.754,403.3962,57.0078,15.9867,240.0732,18.45774,0.0578502
Bile,60,WD,2,0.0025674,0.2707419,2.838231,1.880736,0.0025509,0.0030789,0.3104475,0.74646,0.379005,19.21128,133.0197,19.38057,10.40523,90.0339,5.99115,0.0488103
Bile,37,WD,4,0.016541,0.5559,3.051925,4.060705,0.0062645,0.011764,2.02861,11.56425,1.45605,155.3205,468.5285,152.6685,52.56655,608.464,37.94995,0.240261
Bile,38,WD,4,0.0327474,1.433544,6.565902,11.812938,0.0122958,0.0194856,3.576546,29.5941,2.927256,284.556,765.7068,442.9662,97.7385,1049.2968,71.4219,0.3957978
Bile,39,WD,4,0.0100844,0.1969824,3.079788,3.345872,0.0038964,0.0052496,1.374484,3.61658,0.51612,39.2836,345.9704,141.5624,14.70976,362.032,11.04252,0.078506
Bile,40,WD,4,0.000448,0.020897,0.11937,0.065808,0.001023,0.000556,0.088295,0.41235,0.088737,7.2438,24.369,5.0789,2.1708,31.693,2.2819,0.01622
Bile,41,WD,4,0.0035924,0.152348,0.90321,0.870772,0.0018844,0.0022988,0.312396,1.6324,0.412902,26.0218,95.333,38.3782,8.0759,95.9182,5.91738,0.0376278
Bile,42,WD,4,0.0023643,0.1343462,1.180588,0.5951149,0.0039973,0.0018389,0.6673006,2.949056,0.5272318,75.5582,241.3929,119.0954,19.34111,178.8561,10.97589,0.0779438
Bile,43,WD,4,0.005192,0.2873464,2.221472,2.030512,0.0055528,0.0059224,0.6613816,3.079912,0.7494872,54.51864,311.3352,53.15552,11.65384,252.8152,14.58072,0.0581064
Bile,44,WD,4,0.0148096,0.4300836,4.653187,4.893487,0.008989,0.0185921,1.533737,6.154795,1.295573,114.6498,479.6566,112.4871,32.38799,485.6374,32.96115,0.1483274
Bile,45,WD,4,0.0012984,0.0424296,0.48288,0.274488,0.0017232,0.0007872,0.2388648,0.684144,0.2183064,12.12264,65.6256,22.14264,3.95112,79.4664,3.02088,0.0199656
Bile,47,WD,4,0.002264,0.17172,2.87528,1.71468,0.003212,0.002184,0.53736,1.788,0.54652,44.48,269.224,97.344,11.104,186.508,7.61,0.036168
