Dataset,ID,Diet,Duration,3a7b,3b7a12a,a-MCA,b-MCA,CA,DCA,HDCA,LCA,Tauro 3a12b,Tauro 3a6a,T-3a7k,T-a-MCA,T-b-MCA,T-o-MCA,TCDCA,TCA,TDCA,TLCA
Intestine,1,Chow,8,2.19,0.75,791.97,2537.15,3781.97,19.79,2.72,1.05,16.55,20.12,41.86,1678.14,3298.92,3162.28,3465.99,4554.66,106.93,3.32
Intestine,2,Chow,8,1.225717411,0.304671632,254.6351753,437.2741003,1845.747617,12.19623978,1.124941409,0.063277954,8.851882714,27.9782303,43.55398156,1957.866778,2879.381282,3428.258945,3206.317379,6807.301703,157.5996042,3.672464976
Intestine,3,Chow,8,0.905129934,0.251569065,158.7737953,1402.043674,2352.092951,157.3525598,1.607967218,1.193007936,17.05741999,14.73364801,23.49706935,837.1803517,3166.658022,2158.306966,1462.290575,3326.417345,494.2943099,2.78022719
Intestine,4,Chow,8,3.229497114,0.332310573,506.6332103,2771.376567,3259.030631,45.33933122,2.967393,1.046076239,6.59706693,18.39409226,33.91908056,1431.74372,3725.622757,4105.205679,2348.640075,2645.379375,88.65203599,3.011857091
Intestine,9,Chow,8,2.1991628,0.587805124,860.464999,5254.387735,3993.080492,26.38541457,3.186403066,1.804266694,10.19694372,10.46701634,20.69346379,1233.256002,4252.16865,3305.779705,1008.097135,1644.038733,28.44613678,2.031218479
Intestine,10,Chow,8,0.22002117,1.097837593,1289.233328,11364.88734,5986.844095,76.10917889,7.530621503,0.53077272,5.430213216,11.04869197,15.56933313,827.9147134,3313.019809,2590.352336,775.3818237,1543.777408,45.10433994,0.982156359
Intestine,11,Chow,8,2.197242676,0.904746984,1314.421119,3044.367852,5104.182986,30.02349992,6.993576688,0.646247846,11.56901144,16.14679618,21.97242676,1077.706408,1610.214633,2541.751527,1307.394642,2600.031333,51.04887984,2.380542065
Intestine,12,Chow,8,1.764751593,0.543179817,786.9113609,5533.906647,4094.55007,31.66761643,3.445578408,2.963010931,6.816557012,10.09661711,12.8824535,906.8538569,2856.706211,2623.581827,1107.690514,2048.230845,42.1768637,1.431383723
Intestine,17,Chow,8,3.538394415,0.080715532,12.10732984,56.19546248,125.2181501,,0.353403141,0.77443281,8.379144852,13.11518325,62.44328098,1640.924956,7035.340314,3776.17801,3017.452007,7330.279232,181.9808028,1.594677138
Intestine,18,Chow,8,2.830353249,1.068469254,1539.031836,8336.240733,5839.947667,95.68687309,6.838203227,2.941561273,0.501526385,8.499781945,13.80723942,890.5364152,2411.687745,2591.365024,671.0859137,1184.910597,38.57828173,1.785870039
