	RNA_seq_ID	Lipidomics_ID
1	7A_Index01_control8.count	CHOW8_2
2	7A_Index02_control8.count	CHOW8_3
3	7A_Index03_treated8.count	WD8_5
4	7A_Index04_treated8.count	WD8_6
5	7A_Index05_treated6.count	WD6_28
6	7A_Index06_treated6.count	WD6_30
7	7A_Index07_treated4.count	WD4_37
8	7A_Index08_treated2.count	WD2_49
9	7A_Index09_control8.count	CHOW8_4
10	7A_Index10_treated8.count	WD8_8
11	7A_Index11_control8.count	CHOW8_9
12	7A_Index12_treated6.count	WD6_31
13	7A_Index13_treated4.count	WD4_39
14	7A_Index14_treated4.count	WD4_41
15	7A_Index15_treated2.count	WD2_50
16	7A_Index16_treated2.count	WD2_51
17	7A_Index18_control8.count	CHOW8_12
18	7A_Index19_treated8.count	WD8_16
19	7A_Index20_control8.count	CHOW8_18
20	7A_Index21_treated8.count	WD8_21
21	7A_Index22_treated6.count	WD6_26
22	7A_Index23_treated4.count	WD4_42
23	7A_Index25_treated2.count	WD2_56
24	7A_Index27_treated2.count	WD2_57
25	7B_Index01_control8.count	CHOW8_11
26	7B_Index02_treated8.count	WD8_13
27	7B_Index03_treated8.count	WD8_14
28	7B_Index04_treated6.count	WD6_32
29	7B_Index05_treated6.count	WD6_36
30	7B_Index06_treated4.count	WD4_47
31	7B_Index07_treated4.count	WD4_48
32	7B_Index08_treated2.count	WD2_54
33	7B_Index09_control8.count	CHOW8_19
34	7B_Index10_treated8.count	WD8_22
35	7B_Index11_treated6.count	WD6_25
36	7B_Index12_treated6.count	WD6_35
37	7B_Index13_treated4.count	WD4_38
38	7B_Index14_treated4.count	WD4_46
39	7B_Index15_treated2.count	WD2_59
40	7B_Index16_treated2.count	WD2_60
41	7B_Index18_treated8.count	WD8_7
42	7B_Index19_control8.count	CHOW8_10
43	7B_Index20_control8.count	CHOW8_20
44	7B_Index21_treated6.count	WD6_34
45	7B_Index22_treated4.count	WD4_45
46	7B_Index23_treated2.count	WD2_52
47	7B_Index25_treated2.count	WD2_55
48	7B_Index27_treated2.count	WD2_58
